PERMNO,date,TICKER,CUSIP,DISTCD,DIVAMT,FACPR,FACSHR,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR,sprtrn
14593,20190102,AAPL,3783310,,,,,157.92,37066356,0.001141,4729803,4,4,0.001269
14593,20190103,AAPL,3783310,,,,,142.19,91373695,-0.099607,4729803,4,4,-0.024757
14593,20190104,AAPL,3783310,,,,,148.25999,58603001,0.042689,4729803,4,4,0.034336
14593,20190107,AAPL,3783310,,,,,147.92999,54770364,-0.002226,4729803,4,4,0.00701
14593,20190108,AAPL,3783310,,,,,150.75,41026062,0.019063,4729803,4,4,0.009695
14593,20190109,AAPL,3783310,,,,,153.31,45098881,0.016982,4729803,4,4,0.004098
14593,20190110,AAPL,3783310,,,,,153.8,35778275,0.003196,4729803,4,4,0.004518
14593,20190111,AAPL,3783310,,,,,152.28999,27017204,-0.009818,4729803,4,4,-0.000146
14593,20190114,AAPL,3783310,,,,,150,32468877,-0.015037,4729803,4,4,-0.005258
14593,20190115,AAPL,3783310,,,,,153.07001,28707624,0.020467,4729803,4,4,0.010722
14593,20190116,AAPL,3783310,,,,,154.94,31038506,0.012217,4729803,4,4,0.002222
14593,20190117,AAPL,3783310,,,,,155.86,29820196,0.005938,4729803,4,4,0.007591
14593,20190118,AAPL,3783310,,,,,156.82001,33747398,0.006159,4715280,4,4,0.013183
14593,20190122,AAPL,3783310,,,,,153.3,30390836,-0.022446,4715280,4,4,-0.014157
14593,20190123,AAPL,3783310,,,,,153.92,23128770,0.004044,4715280,4,4,0.002203
14593,20190124,AAPL,3783310,,,,,152.7,25439969,-0.007926,4715280,4,4,0.001376
14593,20190125,AAPL,3783310,,,,,157.75999,33543693,0.033137,4715280,4,4,0.008489
14593,20190128,AAPL,3783310,,,,,156.3,26189758,-0.009255,4715280,4,4,-0.007847
14593,20190129,AAPL,3783310,,,,,154.67999,41582339,-0.010365,4715280,4,4,-0.001456
14593,20190130,AAPL,3783310,,,,,165.25,61110767,0.068335,4715280,4,4,0.015549
14593,20190131,AAPL,3783310,,,,,166.44,40735850,0.007201,4715280,4,4,0.008597
14593,20190201,AAPL,3783310,,,,,166.52,32678838,0.000481,4715280,4,4,0.000899
14593,20190204,AAPL,3783310,,,,,171.25,31493982,0.028405,4715280,4,4,0.006776
14593,20190205,AAPL,3783310,,,,,174.17999,36099339,0.017109,4715280,4,4,0.004708
14593,20190206,AAPL,3783310,,,,,174.24001,28234691,0.000345,4715280,4,4,-0.002224
14593,20190207,AAPL,3783310,,,,,170.94,31758590,-0.018939,4715280,4,4,-0.009357
14593,20190208,AAPL,3783310,1232,0.73,0,0,170.41,23818606,0.00117,4715280,4,4,0.000676
14593,20190211,AAPL,3783310,,,,,169.42999,20992225,-0.005751,4715280,4,4,0.000709
14593,20190212,AAPL,3783310,,,,,170.89,22289660,0.008617,4715280,4,4,0.01289
14593,20190213,AAPL,3783310,,,,,170.17999,22492533,-0.004155,4715280,4,4,0.003024
14593,20190214,AAPL,3783310,,,,,170.8,21833598,0.003643,4715280,4,4,-0.002652
14593,20190215,AAPL,3783310,,,,,170.42,24625614,-0.002225,4715280,4,4,0.010879
14593,20190219,AAPL,3783310,,,,,170.92999,19268826,0.002993,4715280,4,4,0.001499
14593,20190220,AAPL,3783310,,,,,172.03,26111462,0.006435,4715280,4,4,0.001777
14593,20190221,AAPL,3783310,,,,,171.06,17247080,-0.005639,4715280,4,4,-0.003526
14593,20190222,AAPL,3783310,,,,,172.97,18907829,0.011166,4715280,4,4,0.006411
14593,20190225,AAPL,3783310,,,,,174.23,21870758,0.007284,4715280,4,4,0.001232
14593,20190226,AAPL,3783310,,,,,174.33,17068911,0.000574,4715280,4,4,-0.00079
14593,20190227,AAPL,3783310,,,,,174.87,27832500,0.003098,4715280,4,4,-0.000544
