PERMNO,HTICK,HCOMNAM,HTSYMBOL,CUSIP,BEGDAT,ENDDAT
10000,,OPTIMUM MANUFACTURING INC,OMFGA,68391610,1986-01-07,1987-06-11
10001,,GAS NATURAL INC,EGAS,36720410,1986-01-09,2017-08-03
10002,,BANCTRUST FINANCIAL GROUP INC,BTFG,05978R10,1986-01-10,2013-02-15
10003,,GREAT COUNTRY BK ASONIA CT,GCBK,39031810,1986-01-14,1995-12-15
10004,,CLOSE OUTS PLUS INC,CLSO,18906310,1986-01-15,1986-01-17
10005,,WESTERN ENERGY RESOURCES INC,WERC,95815510,1986-01-15,1991-07-11
10006,,A C F INDUSTRIES INC,,00080010,1925-12-31,1984-06-28
10007,,SHAREDATA INC,SHRDC,81949130,1986-01-16,1990-10-16
10008,,GARDENAMERICA CORP,GACO,36547310,1986-01-16,1988-11-21
10009,,IROQUOIS BANCORP INC,IROQ,46334710,1986-01-17,2000-11-03
10010,,CABOT MEDICAL CORP,CBOT,12709510,1986-01-17,1995-08-28
10011,,A T C GROUP SERVICES INC,ATCS,00206710,1988-06-08,1998-02-06
10012,,D P A C TECHNOLOGIES CORP,DPAC,23326910,1986-01-22,2005-08-02
10013,,ARIZONA APPETITOS STORES INC,AAPI,04045810,1986-01-22,1987-06-16
10014,,A J INDUSTRIES INC,,00147610,1926-01-04,1977-04-07
10015,,A & M FOOD SERVICES INC,AMFD,00016510,1983-09-20,1986-07-08
10016,,SCOTT TECHNOLOGIES INC,SCTT,81002230,1986-01-24,2001-05-03
10017,,CONCURRENT COMPUTER CORP,CCUR,20670910,1986-01-24,1988-09-27
10018,,DELTA COMPUTEC INC,DCIS,24750910,1986-01-24,1995-11-10
10019,,I F R SYSTEMS INC,IFRS,44950710,1986-01-24,2002-06-18
10020,,KEY CENTURION BANCSHARES,KEYC,49307510,1986-01-27,1993-04-30
10021,,BRAINERD INTERNATIONAL INC,BIRI,10488220,1986-01-27,1995-12-29
10022,,A S R PRODS CORP,,00299090,1925-12-31,1960-05-03
10023,,A A I CORP,,00035210,1972-12-14,1973-06-05
10024,,DOCUGRAPHIX INC,DOCX,25590410,1986-01-29,1992-05-11
10025,,A E P INDUSTRIES INC,AEPI,00103110,1986-01-30,2017-01-20
10026,JJSF,J & J SNACK FOODS CORP,JJSF,46603210,1986-02-04,2024-12-31
10027,,TELECOMMUNICATIONS NETWORK INC,TNII,87928510,1986-02-04,1990-03-28
10028,ELA,ENVELA CORP,ELA,29402E10,1986-02-05,2024-12-31
10029,,A I F S INC,,00136610,1986-02-05,1990-08-29
