permno,yyyymm,AM,AOP,Accruals,AccrualsBM,Activism1,Activism2,AgeIPO,AnalystRevision,AnalystValue,AnnouncementReturn,BM,BMdec,BPEBM,Beta,BetaLiquidityPS,BetaTailRisk,BidAskSpread,BookLeverage,CBOperProf,CF,CPVolSpread,Cash,ChAssetTurnover,ChEQ,ChForecastAccrual,ChInv,ChNAnalyst,ChNNCOA,ChNWC,ChTax,CitationsRD,CompEquIss,CompositeDebtIssuance,ConsRecomm,CoskewACX,Coskewness,CredRatDG,CustomerMomentum,DelBreadth,DelCOA,DelCOL,DelDRC,DelFINL,DelLTI,DelNetFin,DivInit,DivSeason,DivYieldST,DolVol,DownRecomm,EP,EarnSupBig,EarningsConsistency,EarningsForecastDisparity,EarningsSurprise,EntMult,EquityDuration,ExchSwitch,FEPS,FR,FirmAge,FirmAgeMom,Frontier,GP,Governance,GrAdExp,GrSaleToGrInv,GrSaleToGrOverhead,Herf,HerfAsset,High52,IO_ShortInterest,IdioVol3F,IdioVolAHT,IndIPO,IndMom,IndRetBig,IntMom,IntanCFP,IntanEP,IntanSP,InvGrowth,Investment,LRreversal,Leverage,MRreversal,MaxRet,MeanRankRevGrowth,Mom12m,Mom12mOffSeason,Mom6mJunk,MomOffSeason,MomOffSeason06YrPlus,MomOffSeason11YrPlus,MomRev,MomSeason,MomSeason06YrPlus,MomSeason11YrPlus,MomSeasonShort,MomVol,NOA,NetDebtFinance,NetEquityFinance,NetPayoutYield,NumEarnIncrease,OPLeverage,OperProf,OperProfRD,OptionVolume1,OptionVolume2,OrderBacklogChg,OrgCap,PS,PatentsRD,PctAcc,PctTotAcc,PredictedFE,PriceDelayRsq,PriceDelayTstat,ProbInformedTrading,RD,RDAbility,RDS,RDcap,REV6,RIO_Disp,RIO_Turnover,RIO_Volatility,RIVolSpread,RealizedVol,ResidualMomentum,ReturnSkew,ReturnSkew3F,RevenueSurprise,SP,ShareIss1Y,ShareIss5Y,ShareRepurchase,ShortInterest,SmileSlope,Spinoff,SurpriseRD,TotalAccruals,TrendFactor,UpRecomm,VarCF,VolSD,VolumeTrend,XFIN,betaVIX,dCPVolSpread,dNoa,dVolCall,dVolPut,grcapx,grcapx3y,hire,iomom_cust,realestate,retConglomerate,roaq,sfe,skew1,std_turn,tang,zerotrade,zerotradeAlt12,date
12070,201901,,,0.0018786252,,,,,,,0.0222543757408857,,0.62676787,,1.07078137068683,-0.0158781542386826,,0.0044238535,-3.0831981,,,,,,-1.3594903,,0.0,,-0.0012340433,0.0031053247,-3.9756364e-05,,,-1.2406077,,0.033054873,0.24633095,,0.057813134,,0.0039419993,0.002063374,,-0.11940998,-0.21265103,0.093395673,,,,-4.8117156,,,,,,,,-16.972643,,,,,,,,,,,0.18979801,,,0.98609179,,-0.014619764289732,-0.0161921604205639,,,,,,,,,,,,,-0.0470779165625572,873.93335,,,,,,,,,,,,,-1.1534513,-0.035348255,-0.076391548,,,0.087054409,,,,,,,,,3.9146869,-9.572114,,0.15554234,-0.5931915,,,,-13.74973,,,,,,,-0.0166417235113773,0.39560232,-1.06534059197945,-0.576893090610911,,,,,1.0,,,,0.0,-0.091540202,,,,-3.65555091446936,-0.024499422,-0.10045235,-0.008213078319957,,-0.23756415,,,,,0.028708134,,,,,,,-0.087446243271481,,1.4933594e-08,1.3386794e-08,2019-01-31
12070,201902,,,0.0018786252,,,,,,,-0.0920915442984551,,0.62676787,,1.01722284228266,-0.120796487113547,,0.0038124535,-3.0831981,,,,,,-1.3594903,,0.0,,-0.0012340433,0.0031053247,-3.9756364e-05,,,-1.2406077,,-0.18096691,0.2350367,,0.018371044,,0.0039419993,0.002063374,,-0.11940998,-0.21265103,0.093395673,,,,-4.5487823,,,,,,,,-16.972643,,,,,,,,,,,0.18979801,,,0.90472877,,-0.0199514223637901,-0.0167075684548884,,,,,,,,,,,,,-0.0205819699913263,873.33331,,,,,,,,,,,,,-1.1534513,-0.035348255,-0.076391548,,,0.087054409,,,,,,,,,3.9146869,-9.572114,,0.15554234,-0.5931915,,,,-13.74973,,,,,,,-0.0211837473862971,0.4887208,3.32475264076923,3.18194720494224,,,,,1.0,,,,0.0,-0.091540202,,,,-3.6115788973129,-0.023711834,-0.10045235,-0.0052489506756312,,-0.23756415,,,,,0.028708134,,,,,,,-0.0867703878480911,,1.4819948e-08,1.361146e-08,2019-02-28
12070,201903,,,0.0018786252,,,,,,,-0.0920915454626083,,0.62676787,,1.02542874150603,-0.112654279495316,,0.0043298793,-3.0831981,,,,,,-1.3594903,,0.0,,-0.0012340433,0.0031053247,-4.6772193e-06,,,-1.2406077,,-0.19907819,0.21616375,,-0.0341064,,0.0039419993,0.002063374,,-0.11940998,-0.21265103,0.093395673,,,,-4.2548299,,,,,,,,-16.972643,,,,,,,,,,,0.18979801,,,0.82668501,,-0.0173440217890505,-0.01484309003031,,,,,,,,,,,,,-0.018723426386714,873.86664,,,,,,,,,,,,,-1.1534513,-0.035348255,-0.076391548,,,0.087054409,,,,,,,,,3.9146869,-9.572114,,0.15554234,-0.5931915,,,,-13.74973,,,,,,,-0.0180063205763559,0.46352008,1.12395995342946,1.67654932332295,,,,,1.0,,,,0.0,-0.091540202,,,,-3.61716499481051,-0.023748854,-0.10045235,0.0038714866866962,,-0.23756415,,,,,0.028708134,,,,,,,-0.0870444292734217,,1.2526283e-08,1.3543993e-08,2019-03-31
12070,201904,,,0.0018786252,,,,,,,-0.0920915454626083,,0.62676787,,1.0320351305744,-0.104037564738438,,0.0054821032,-3.0831981,,,,,,-1.3594903,,0.0,,-0.0012340433,0.0031053247,-4.6772193e-06,,,-1.2406077,,-0.21993406,0.24459033,,0.036411997,,0.0039419993,0.002063374,,-0.11940998,-0.21265103,0.093395673,,,,-4.4535756,,,,,,,,-16.972643,,,,,,,,,,,0.18979801,,,0.88239342,,-0.0086131684270941,-0.0147586623491417,,,,,,,,,,,,,-0.0181368719786406,875.53333,,,,,,,,,,,,,-1.1534513,-0.035348255,-0.076391548,,,0.087054409,,,,,,,,,3.9146869,-9.572114,,0.15554234,-0.5931915,,,,-13.74973,,,,,,,-0.0103129789658732,0.25065181,0.541204895901478,0.491995420938526,,,,,1.0,,,,0.0,-0.091540202,,,,-3.55980642104671,-0.022545744,-0.10045235,0.0073295106215241,,-0.23756415,,,,,0.028708134,,,,,,,-0.0861587186804748,,1.2386093e-08,1.3613572e-08,2019-04-30
12070,201905,,,0.0018786252,,,,,,,0.0055267632706091,,0.62676787,,0.983133210723151,-0.113282488098097,,0.0082294522,-3.0831981,,,,,,-1.3594903,,0.0,,-0.0012340433,0.0031053247,-4.6772193e-06,,,-1.2406077,,-0.22224769,0.18866563,,-0.090336993,,0.0039419993,0.002063374,,-0.11940998,-0.21265103,0.093395673,,,,-4.7804794,,,,,,,,-16.972643,,,,,,,,,,,0.18979801,,,0.87138927,,-0.0076842402264374,-0.0142991198669211,,,,,,,,,,,,,-0.0183999631553888,876.66669,,,,,,,,,,,,,-1.1534513,-0.035348255,-0.076391548,,,0.087054409,,,,,,,,,3.9146869,-9.572114,,0.15554234,-0.5931915,,,,-13.74973,,,,,,,-0.0107389952631302,0.15786396,0.105111903804869,0.0010001166322384,,,,,1.0,,,,0.0,-0.091540202,,,,-3.50650305411812,-0.021787547,-0.10045235,0.000898754941406,,-0.23756415,,,,,0.028708134,,,,,,,-0.0853811182178454,,1.2757246e-08,1.3623944e-08,2019-05-31
12070,201906,,,-0.21920076,,,,,,,0.0055267633870244,,0.71871161,,0.957887632953544,-0.0795246892525532,,0.0061181532,-2.9358094,,,,,,-1.0082047,,0.0,,-0.038333602,-0.22392912,7.4645527e-06,,,-0.84982234,,-0.20131609,0.19341758,,0.025118055,,0.0054879454,0.22468871,,0.038905952,0.075705841,-0.036873203,,,,-4.3265691,,,,,,,,-15.684299,,,,,,,,,,,0.14611094,,,0.87276477,,-0.0093834783720538,-0.0143918480251135,,,,,,,,,,,,,-0.0186688713729382,959.13336,,,,,,,,,,,,,-0.65937752,-0.0061477558,0.044658583,,,0.08396671,,,,,,,,,0.84578413,1.5105221,,0.15554234,-0.5931915,,,,19.81344,,,,,,,-0.0107028675186851,0.22551502,-0.0409367243853035,-0.112676722271245,,,,,1.0,,,,0.0,0.031771,,,,-3.51580575438568,-0.020519556,0.039312955,-0.0047144516976742,,0.040845066,,,,,0.049751244,,,,,,,-0.0859669693081624,,1.3848402e-08,1.3942682e-08,2019-06-30
12070,201907,,,-0.21920076,,,,,,,0.0318340891899425,,0.71871161,,0.974736082816139,-0.0813093519421941,,0.0036717488,-2.9358094,,,,,,-1.0082047,,0.0,,-0.038333602,-0.22392912,7.4645527e-06,,,-0.84982234,,-0.21780713,0.21197096,,-0.018272702,,0.0054879454,0.22468871,,0.038905952,0.075705841,-0.036873203,,,,-4.4488091,,,,,,,,-15.684299,,,,,,,,,,,0.14611094,,,0.87689131,,-0.0071687655261634,-0.0141547130942845,,,,,,,,,,,,,-0.0141508923843503,962.20001,,,,,,,,,,,,,-0.65937752,-0.0061477558,0.044658583,,,0.08396671,,,,,,,,,0.84578413,1.5105221,,0.074170165,-0.5931915,,,,19.81344,,,,,,,-0.0081861540716094,0.10902987,0.105540980094437,-0.21265275354082,,,,,1.0,,,,0.0,0.031771,,,,-3.51351723363803,-0.019077778,0.039312955,0.0020322469551222,,0.040845066,,,,,0.049751244,,,,,,,-0.0866779417995417,,1.425447e-08,1.4451208e-08,2019-07-31
12070,201908,,,-0.21920076,,,,,,,0.0318340882658958,,0.71871161,,0.966177634570304,-0.0822977211899516,,0.0048337518,-2.9358094,,,,,,-1.0082047,,0.0,,-0.038333602,-0.22392912,7.4645527e-06,,,-0.84982234,,-0.13589519,0.17803706,,0.032339416,,0.0054879454,0.22468871,,0.038905952,0.075705841,-0.036873203,,,,-4.0944223,,,,,,,,-15.684299,,,,,,,,,,,0.14611094,,,0.85419536,,-0.0075870747132993,-0.0140182423683606,,,,,,,,,,,,,-0.0162866301834583,962.33331,,,,,,,,,,,,,-0.65937752,-0.0061477558,0.044658583,,,0.08396671,,,,,,,,,0.84578413,1.5105221,,0.074170165,-0.5931915,,,,19.81344,,,,,,,-0.0127451402240294,0.083584093,0.909623599009062,0.615174612978685,,,,,1.0,,,,0.0,0.031771,,,,-3.50644109841231,-0.017613493,0.039312955,0.0012776553033507,,0.040845066,,,,,0.049751244,,,,,,,-0.0871048009182091,,1.4628044e-08,1.4594032e-08,2019-08-31
12070,201909,,,-0.21920076,,,,,,,0.0318340882658958,,0.71871161,,0.958162042686464,-0.0975347349576384,,0.0034274138,-2.9358094,,,,,,-1.0082047,,0.0,,-0.038333602,-0.22392912,4.1988111e-05,,,-0.84982234,,-0.11228027,0.22703663,,0.098726638,,0.0054879454,0.22468871,,0.038905952,0.075705841,-0.036873203,,,,-3.967603,,,,,,,,-15.684299,,,,,,,,,,,0.14611094,,,0.94635493,,-0.0102617068044337,-0.014281851444327,,,,,,,,,,,,,-0.0416036434471607,965.26666,,,,,,,,,,,,,-0.65937752,-0.0061477558,0.044658583,,,0.08396671,,,,,,,,,0.84578413,1.5105221,,0.074170165,-0.5931915,,,,19.81344,,,,,,,-0.0131209738566949,0.098516233,-1.33292279423818,-0.400756924634764,,,,,1.0,,,,0.0,0.031771,,,,-3.47723282895379,-0.016449964,0.039312955,-0.0035176749750154,,0.040845066,,,,,0.049751244,,,,,,,-0.0871158040482752,,1.6217362e-08,1.4723995e-08,2019-09-30
12070,201910,,,-0.21920076,,,,,,,0.016898064641282,,0.71871161,,0.95034144500045,-0.106318550814064,,0.0049435911,-2.9358094,,,,,,-1.0082047,,0.0,,-0.038333602,-0.22392912,4.1988111e-05,,,-0.84982234,,-0.08080858,0.21984513,,-0.01785473,,0.0054879454,0.22468871,,0.038905952,0.075705841,-0.036873203,,,,-4.1199069,,,,,,,,-15.684299,,,,,,,,,,,0.14611094,,,0.97936726,,-0.0071766772123426,-0.0137744795307405,,,,,,,,,,,,,-0.019000668078661,966.33331,,,,,,,,,,,,,-0.65937752,-0.0061477558,0.044658583,,,0.08396671,,,,,,,,,0.84578413,1.5105221,,0.074170165,-0.5931915,,,,19.81344,,,,,,,-0.0079700126975057,0.089579135,0.427919678682193,-0.430277475718874,,,,,1.0,,,,0.0,0.031771,,,,-3.43889740381539,-0.015087456,0.039312955,-0.0017650117055165,,0.040845066,,,,,0.049751244,,,,,,,-0.0869625194967037,,1.6767856e-08,1.4371822e-08,2019-10-31
