PERMNO,date,TICKER,CUSIP,DISTCD,DIVAMT,FACPR,FACSHR,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR,sprtrn
11850,20190102,XOM,30231G10,,,,,69.69,16727246,0.021997,4233807,1,1,0.001269
11850,20190103,XOM,30231G10,,,,,68.62,13866115,-0.015354,4233807,1,1,-0.024757
11850,20190104,XOM,30231G10,,,,,71.15,16043642,0.03687,4233807,1,1,0.034336
11850,20190107,XOM,30231G10,,,,,71.52,10844159,0.0052,4233807,1,1,0.00701
11850,20190108,XOM,30231G10,,,,,72.04,11438966,0.007271,4233807,1,1,0.009695
11850,20190109,XOM,30231G10,,,,,72.42,13473519,0.005275,4233807,1,1,0.004098
11850,20190110,XOM,30231G10,,,,,72.05,13151117,-0.005109,4233807,1,1,0.004518
11850,20190111,XOM,30231G10,,,,,71.72,9790134,-0.00458,4233807,1,1,-0.000146
11850,20190114,XOM,30231G10,,,,,71.63,11012361,-0.001255,4233807,1,1,-0.005258
11850,20190115,XOM,30231G10,,,,,71.67,10298309,0.000558,4233807,1,1,0.010722
11850,20190116,XOM,30231G10,,,,,71.64,12595640,-0.000419,4233807,1,1,0.002222
11850,20190117,XOM,30231G10,,,,,72.13,10141743,0.00684,4233807,1,1,0.007591
11850,20190118,XOM,30231G10,,,,,72.99,15759166,0.011923,4233807,1,1,0.013183
11850,20190122,XOM,30231G10,,,,,71.89,15035601,-0.015071,4233807,1,1,-0.014157
11850,20190123,XOM,30231G10,,,,,71.3,13187221,-0.008207,4233807,1,1,0.002203
11850,20190124,XOM,30231G10,,,,,71.4,11272716,0.001403,4233807,1,1,0.001376
11850,20190125,XOM,30231G10,,,,,71.72,8998323,0.004482,4233807,1,1,0.008489
11850,20190128,XOM,30231G10,,,,,71.24,13678449,-0.006693,4233807,1,1,-0.007847
11850,20190129,XOM,30231G10,,,,,71.51,10513242,0.00379,4233807,1,1,-0.001456
11850,20190130,XOM,30231G10,,,,,72.29,11524722,0.010908,4233807,1,1,0.015549
11850,20190131,XOM,30231G10,,,,,73.28,19876696,0.013695,4233807,1,1,0.008597
11850,20190201,XOM,30231G10,,,,,75.92,22968697,0.036026,4233807,1,1,0.000899
11850,20190204,XOM,30231G10,,,,,74.82,15483835,-0.014489,4233807,1,1,0.006776
11850,20190205,XOM,30231G10,,,,,75.59,12786736,0.010291,4233807,1,1,0.004708
11850,20190206,XOM,30231G10,,,,,75.26,10866901,-0.004366,4233807,1,1,-0.002224
11850,20190207,XOM,30231G10,,,,,74.68,14418911,-0.007707,4233807,1,1,-0.009357
11850,20190208,XOM,30231G10,1232,0.82,0,0,73.98,11959689,0.001607,4233807,1,1,0.000676
11850,20190211,XOM,30231G10,,,,,74.1,10434911,0.001622,4233807,1,1,0.000709
11850,20190212,XOM,30231G10,,,,,75.4,12599206,0.017544,4233807,1,1,0.01289
11850,20190213,XOM,30231G10,,,,,76.25,13214556,0.011273,4233807,1,1,0.003024
11850,20190214,XOM,30231G10,,,,,76.27,12773209,0.000262,4233807,1,1,-0.002652
11850,20190215,XOM,30231G10,,,,,77.71,14330339,0.01888,4233807,1,1,0.010879
11850,20190219,XOM,30231G10,,,,,78.23,13551469,0.006692,4233807,1,1,0.001499
11850,20190220,XOM,30231G10,,,,,78.53,12633126,0.003835,4233807,1,1,0.001777
11850,20190221,XOM,30231G10,,,,,77.82,10266012,-0.009041,4233807,1,1,-0.003526
11850,20190222,XOM,30231G10,,,,,78.42,9519281,0.00771,4233807,1,1,0.006411
11850,20190225,XOM,30231G10,,,,,78.5,9274378,0.00102,4233807,1,1,0.001232
11850,20190226,XOM,30231G10,,,,,78.66,10990586,0.002038,4233807,1,1,-0.00079
11850,20190227,XOM,30231G10,,,,,79.47,12398206,0.010297,4233807,1,1,-0.000544
11850,20190228,XOM,30231G10,,,,,79.03,14597883,-0.005537,4237000,1,1,-0.002826
11850,20190301,XOM,30231G10,,,,,80,15419422,0.012274,4237000,1,1,0.006895
11850,20190304,XOM,30231G10,,,,,80.31,18090161,0.003875,4237000,1,1,-0.003881
11850,20190305,XOM,30231G10,,,,,80.19,13745465,-0.001494,4237000,1,1,-0.001131
11850,20190306,XOM,30231G10,,,,,79.28,18633599,-0.011348,4237000,1,1,-0.006524
11850,20190307,XOM,30231G10,,,,,80.16,16541732,0.0111,4237000,1,1,-0.008126
11850,20190308,XOM,30231G10,,,,,79.01,16211252,-0.014346,4237000,1,1,-0.002132
11850,20190311,XOM,30231G10,,,,,79.78,11060876,0.009746,4237000,1,1,0.014666
11850,20190312,XOM,30231G10,,,,,80,11320150,0.002758,4237000,1,1,0.002953
11850,20190313,XOM,30231G10,,,,,80.71,10260235,0.008875,4237000,1,1,0.00695
11850,20190314,XOM,30231G10,,,,,80.44,9976797,-0.003345,4237000,1,1,-0.000868
11850,20190315,XOM,30231G10,,,,,80.15,25316599,-0.003605,4237000,1,1,0.004985
11850,20190318,XOM,30231G10,,,,,81.08,9840552,0.011603,4237000,1,1,0.003706
11850,20190319,XOM,30231G10,,,,,80.87,13936496,-0.00259,4237000,1,1,-0.000131
11850,20190320,XOM,30231G10,,,,,81.32,13133738,0.005564,4237000,1,1,-0.002944
11850,20190321,XOM,30231G10,,,,,81.79,10116958,0.00578,4237000,1,1,0.010853
11850,20190322,XOM,30231G10,,,,,80.48,12497707,-0.016017,4237000,1,1,-0.018975
11850,20190325,XOM,30231G10,,,,,79.92,11320386,-0.006958,4237000,1,1,-0.000839
11850,20190326,XOM,30231G10,,,,,80.96,9473083,0.013013,4237000,1,1,0.007183
11850,20190327,XOM,30231G10,,,,,80.34,7258729,-0.007658,4237000,1,1,-0.004644
11850,20190328,XOM,30231G10,,,,,80.74,7412348,0.004979,4237000,1,1,0.00359
11850,20190329,XOM,30231G10,,,,,80.8,10889251,0.000743,4237000,1,1,0.006734
11850,20190401,XOM,30231G10,,,,,81.73,10816444,0.01151,4237000,1,1,0.011569
11850,20190402,XOM,30231G10,,,,,81.38,7646036,-0.004282,4237000,1,1,0.000017
11850,20190403,XOM,30231G10,,,,,80.9,8562912,-0.005898,4237000,1,1,0.002148
11850,20190404,XOM,30231G10,,,,,82.05,9360593,0.014215,4237000,1,1,0.002085
11850,20190405,XOM,30231G10,,,,,82.49,10059368,0.005363,4237000,1,1,0.004636
11850,20190408,XOM,30231G10,,,,,83,9108518,0.006183,4237000,1,1,0.001047
11850,20190409,XOM,30231G10,,,,,81.93,8561582,-0.012892,4237000,1,1,-0.006067
11850,20190410,XOM,30231G10,,,,,81.56,10324305,-0.004516,4237000,1,1,0.003478
11850,20190411,XOM,30231G10,,,,,81.95,9115235,0.004782,4237000,1,1,0.000038
11850,20190412,XOM,30231G10,,,,,80.92,16638655,-0.012569,4237000,1,1,0.006609
11850,20190415,XOM,30231G10,,,,,80.65,8536136,-0.003337,4237000,1,1,-0.000629
11850,20190416,XOM,30231G10,,,,,81.2,7005715,0.00682,4237000,1,1,0.000509
11850,20190417,XOM,30231G10,,,,,81.43,8311362,0.002833,4237000,1,1,-0.002274
11850,20190418,XOM,30231G10,,,,,81.13,9493885,-0.003684,4237000,1,1,0.001579
11850,20190422,XOM,30231G10,,,,,82.9,10770596,0.021817,4237000,1,1,0.001012
11850,20190423,XOM,30231G10,,,,,83.38,10595101,0.00579,4237000,1,1,0.008841
11850,20190424,XOM,30231G10,,,,,81.76,11684021,-0.019429,4237000,1,1,-0.002192
11850,20190425,XOM,30231G10,,,,,82.22,11135004,0.005626,4237000,1,1,-0.000369
11850,20190426,XOM,30231G10,,,,,80.49,18053468,-0.021041,4237000,1,1,0.004685
11850,20190429,XOM,30231G10,,,,,79.97,10023667,-0.00646,4237000,1,1,0.001071
11850,20190430,XOM,30231G10,,,,,80.28,13721521,0.003876,4231000,1,1,0.000951
11850,20190501,XOM,30231G10,,,,,78.67,13909751,-0.020055,4231000,1,1,-0.007502
11850,20190502,XOM,30231G10,,,,,77.29,15360385,-0.017542,4231000,1,1,-0.002124
11850,20190503,XOM,30231G10,,,,,77.47,12180737,0.002329,4231000,1,1,0.009638
11850,20190506,XOM,30231G10,,,,,77.13,13367124,-0.004389,4231000,1,1,-0.004471
11850,20190507,XOM,30231G10,,,,,76.72,13498822,-0.005316,4231000,1,1,-0.016512
11850,20190508,XOM,30231G10,,,,,76.84,11352859,0.001564,4231000,1,1,-0.001605
11850,20190509,XOM,30231G10,,,,,76.77,13221649,-0.000911,4231000,1,1,-0.003021
11850,20190510,XOM,30231G10,1232,0.87,0,0,76.56,11055957,0.008597,4231000,1,1,0.00372
