None,indicator_id,region_id,date,value
0,ZABT,2694,2023-01-31,338807.898284576
1,ZABT,2694,2022-12-31,337632.46441739
2,ZABT,2694,2022-11-30,337446.865073374
3,ZABT,2694,2022-10-31,329329.0
4,ZABT,2694,2022-09-30,330059.0
5,ZABT,2694,2022-08-31,328787.0
6,ZABT,2694,2022-07-31,329980.0
7,ZABT,2694,2022-06-30,329845.0
8,ZABT,2694,2022-05-31,326832.0
9,ZABT,2694,2022-04-30,324875.0
10,ZABT,2694,2022-03-31,318630.0
11,ZABT,2694,2022-02-28,314418.0
12,ZABT,2694,2022-01-31,318219.0
13,ZABT,2694,2021-12-31,322352.0
14,ZABT,2694,2021-11-30,319942.0
15,ZABT,2694,2021-10-31,317010.0
16,ZABT,2694,2021-09-30,315214.0
17,ZABT,2694,2021-08-31,313412.0
18,ZABT,2694,2021-07-31,301107.0
19,ZABT,2694,2021-06-30,294615.0
20,ZABT,2694,2021-05-31,288474.0
21,ZABT,2694,2021-04-30,280110.0
22,ZABT,2694,2021-03-31,275371.0
23,ZABT,2694,2021-02-28,272644.0
24,ZABT,2694,2021-01-31,267772.0
25,ZABT,2694,2020-12-31,263122.0
26,ZABT,2694,2020-11-30,259714.0
27,ZABT,2694,2020-10-31,258752.0
28,ZABT,2694,2020-09-30,254967.0
29,ZABT,2694,2020-08-31,256814.0
30,ZABT,2694,2020-07-31,251636.0
31,ZABT,2694,2020-06-30,246231.0
32,ZABT,2694,2020-05-31,241597.0
33,ZABT,2694,2020-04-30,240795.0
34,ZABT,2694,2020-03-31,240188.0
35,ZABT,2694,2020-02-29,240758.0
36,ZABT,2694,2020-01-31,240243.0
37,ZABT,2694,2019-12-31,239451.0
38,ZABT,2694,2019-11-30,239101.0
39,ZABT,2694,2019-10-31,238740.0
40,ZABT,2694,2019-09-30,238244.0
41,ZABT,2694,2019-08-31,238430.0
42,ZABT,2694,2019-07-31,239880.0
43,ZABT,2694,2019-06-30,240618.0
44,ZABT,2694,2019-05-31,241208.0
45,ZABT,2694,2019-04-30,239967.0
46,ZABT,2694,2019-03-31,239234.0
47,ZABT,2694,2019-02-28,239076.0
48,ZABT,2694,2019-01-31,238549.0
49,ZABT,2694,2018-12-31,238702.0
50,ZABT,2694,2018-11-30,238515.0
51,ZABT,2694,2018-10-31,238822.0
52,ZABT,2694,2018-09-30,239079.0
53,ZABT,2694,2018-08-31,238398.0
54,ZABT,2694,2018-07-31,236845.0
55,ZABT,2694,2018-06-30,235562.0
56,ZABT,2694,2018-05-31,234539.0
57,ZABT,2694,2018-04-30,235399.0
58,ZABT,2694,2018-03-31,234815.0
59,ZABT,2694,2018-02-28,234398.0
60,ZABT,2694,2018-01-31,234198.0
61,ZABT,2694,2017-12-31,234415.0
62,ZABT,2694,2017-11-30,234171.0
63,ZABT,2694,2017-10-31,233213.0
64,ZABT,2694,2017-09-30,232266.0
65,ZABT,2694,2017-08-31,231146.0
66,ZABT,2694,2017-07-31,230407.0
67,ZABT,2694,2017-06-30,229644.0
68,ZABT,2694,2017-05-31,229124.0
69,ZABT,2694,2017-04-30,227492.0
70,ZABT,2694,2017-03-31,227429.0
71,ZABT,2694,2017-02-28,227312.0
72,ZABT,2694,2017-01-31,227323.0
73,ZABT,2694,2016-12-31,225510.0
74,ZABT,2694,2016-11-30,224124.0
75,ZABT,2694,2016-10-31,222982.0
76,ZABT,2694,2016-09-30,223155.0
77,ZABT,2694,2016-08-31,224120.0
78,ZABT,2694,2016-07-31,225328.0
79,ZABT,2694,2016-06-30,226201.0
80,ZABT,2694,2016-05-31,226941.0
81,ZABT,2694,2016-04-30,227301.0
82,ZABT,2694,2016-03-31,227347.0
83,ZABT,2694,2016-02-29,225841.0
84,ZABT,2694,2016-01-31,224260.0
85,ZABT,2694,2015-12-31,223276.0
86,ZABT,2694,2015-11-30,223463.0
87,ZABT,2694,2015-10-31,224101.0
88,ZABT,2694,2015-09-30,223918.0
89,ZABT,2694,2015-08-31,223352.0
90,ZABT,2694,2015-07-31,222368.0
91,ZABT,2694,2015-06-30,221139.0
92,ZABT,2694,2015-05-31,220218.0
93,ZABT,2694,2015-04-30,219045.0
94,ZABT,2694,2015-03-31,218144.0
95,ZABT,2694,2015-02-28,218743.0
96,ZABT,2694,2015-01-31,220047.0
97,ZABT,2694,2014-12-31,221875.0
98,ZABT,2694,2014-11-30,221737.0
99,ZABT,2694,2014-10-31,221388.0
100,ZABT,2694,2014-09-30,221218.0
101,ZABT,2694,2014-08-31,221359.0
102,ZABT,2694,2014-07-31,221332.0
103,ZABT,2694,2014-06-30,221573.0
104,ZABT,2694,2014-05-31,221600.0
105,ZABT,2694,2014-04-30,222969.0
106,ZABT,2694,2014-03-31,223246.0
107,ZABT,2694,2014-02-28,223105.0
108,ZABT,2694,2014-01-31,221384.0
109,ZABT,2694,2013-12-31,219510.0
110,ZABT,2694,2013-11-30,218494.0
111,ZABT,2694,2013-10-31,218179.0
112,ZABT,2694,2013-09-30,217945.0
113,ZABT,2694,2013-08-31,217250.0
114,ZABT,2694,2013-07-31,216719.0
115,ZABT,2694,2013-06-30,216072.0
116,ZABT,2694,2013-05-31,214702.0
117,ZABT,2694,2013-04-30,212628.0
118,ZABT,2694,2013-03-31,211023.0
119,ZABT,2694,2013-02-28,209734.0
120,ZABT,2694,2013-01-31,209578.0
121,ZABT,2694,2012-12-31,209892.0
122,ZABT,2694,2012-11-30,210650.0
123,ZABT,2694,2012-10-31,210550.0
124,ZABT,2694,2012-09-30,210059.0
125,ZABT,2694,2012-08-31,209298.0
126,ZABT,2694,2012-07-31,208986.0
127,ZABT,2694,2012-06-30,209098.0
128,ZABT,2694,2012-05-31,209976.0
129,ZABT,2694,2012-04-30,210654.0
130,ZABT,2694,2012-03-31,211375.0
131,ZABT,2694,2012-02-29,212296.0
132,ZABT,2694,2012-01-31,213683.0
133,ZABT,2694,2011-12-31,214777.0
134,ZABT,2694,2011-11-30,215370.0
135,ZABT,2694,2011-10-31,215221.0
136,ZABT,2694,2011-09-30,215635.0
137,ZABT,2694,2011-08-31,217176.0
138,ZABT,2694,2011-07-31,218516.0
139,ZABT,2694,2011-06-30,219380.0
140,ZABT,2694,2011-05-31,220477.0
141,ZABT,2694,2011-04-30,222752.0
142,ZABT,2694,2011-03-31,225917.0
143,ZABT,2694,2011-02-28,227879.0
144,ZABT,2694,2011-01-31,228347.0
145,ZABT,2694,2010-12-31,228695.0
146,ZABT,2694,2010-11-30,230264.0
147,ZABT,2694,2010-10-31,233147.0
148,ZABT,2694,2010-09-30,236086.0
149,ZABT,2694,2010-08-31,238006.0
150,ZABT,2694,2010-07-31,240478.0
151,ZABT,2694,2010-06-30,242089.0
152,ZABT,2694,2010-05-31,242821.0
153,ZABT,2694,2010-04-30,242015.0
154,ZABT,2694,2010-03-31,241052.0
155,ZABT,2694,2010-02-28,241462.0
156,ZABT,2694,2010-01-31,242971.0
157,ZABT,2694,2009-12-31,244227.0
158,ZABT,2694,2009-11-30,244700.0
159,ZABT,2694,2009-10-31,245670.0
160,ZABT,2694,2009-09-30,246286.0
161,ZABT,2694,2009-08-31,247430.0
