None,indicator_id,region_id,date,value
0,ZATT,2694,2023-01-31,1115414.61895444
1,ZATT,2694,2022-12-31,1117934.08838737
2,ZATT,2694,2022-11-30,1120673.49454436
3,ZATT,2694,2022-10-31,1253470.0
4,ZATT,2694,2022-09-30,1250823.0
5,ZATT,2694,2022-08-31,1255540.0
6,ZATT,2694,2022-07-31,1250562.0
7,ZATT,2694,2022-06-30,1247299.0
8,ZATT,2694,2022-05-31,1233826.0
9,ZATT,2694,2022-04-30,1220116.0
10,ZATT,2694,2022-03-31,1193235.0
11,ZATT,2694,2022-02-28,1176102.0
12,ZATT,2694,2022-01-31,1166757.0
13,ZATT,2694,2021-12-31,1141942.0
14,ZATT,2694,2021-11-30,1132565.0
15,ZATT,2694,2021-10-31,1121106.0
16,ZATT,2694,2021-09-30,1114429.0
17,ZATT,2694,2021-08-31,1108046.0
18,ZATT,2694,2021-07-31,1096361.0
19,ZATT,2694,2021-06-30,1073898.0
20,ZATT,2694,2021-05-31,1051845.0
21,ZATT,2694,2021-04-30,1026395.0
22,ZATT,2694,2021-03-31,1008092.0
23,ZATT,2694,2021-02-28,994078.0
24,ZATT,2694,2021-01-31,974798.0
25,ZATT,2694,2020-12-31,955391.0
26,ZATT,2694,2020-11-30,939875.0
27,ZATT,2694,2020-10-31,931512.0
28,ZATT,2694,2020-09-30,921231.0
29,ZATT,2694,2020-08-31,908103.0
30,ZATT,2694,2020-07-31,886794.0
31,ZATT,2694,2020-06-30,888656.0
32,ZATT,2694,2020-05-31,879360.0
33,ZATT,2694,2020-04-30,876816.0
34,ZATT,2694,2020-03-31,875744.0
35,ZATT,2694,2020-02-29,873568.0
36,ZATT,2694,2020-01-31,873391.0
37,ZATT,2694,2019-12-31,872446.0
38,ZATT,2694,2019-11-30,873362.0
39,ZATT,2694,2019-10-31,874426.0
40,ZATT,2694,2019-09-30,875198.0
41,ZATT,2694,2019-08-31,877986.0
42,ZATT,2694,2019-07-31,884994.0
43,ZATT,2694,2019-06-30,889796.0
44,ZATT,2694,2019-05-31,894292.0
45,ZATT,2694,2019-04-30,892712.0
46,ZATT,2694,2019-03-31,892208.0
47,ZATT,2694,2019-02-28,893882.0
48,ZATT,2694,2019-01-31,893922.0
49,ZATT,2694,2018-12-31,896519.0
50,ZATT,2694,2018-11-30,897600.0
51,ZATT,2694,2018-10-31,900483.0
52,ZATT,2694,2018-09-30,902883.0
53,ZATT,2694,2018-08-31,902530.0
54,ZATT,2694,2018-07-31,899616.0
55,ZATT,2694,2018-06-30,897729.0
56,ZATT,2694,2018-05-31,896387.0
57,ZATT,2694,2018-04-30,901067.0
58,ZATT,2694,2018-03-31,900459.0
59,ZATT,2694,2018-02-28,900308.0
60,ZATT,2694,2018-01-31,900989.0
61,ZATT,2694,2017-12-31,903307.0
62,ZATT,2694,2017-11-30,904022.0
63,ZATT,2694,2017-10-31,902147.0
64,ZATT,2694,2017-09-30,900574.0
65,ZATT,2694,2017-08-31,898668.0
66,ZATT,2694,2017-07-31,897990.0
67,ZATT,2694,2017-06-30,897816.0
68,ZATT,2694,2017-05-31,897993.0
69,ZATT,2694,2017-04-30,894653.0
70,ZATT,2694,2017-03-31,896647.0
71,ZATT,2694,2017-02-28,898717.0
72,ZATT,2694,2017-01-31,901249.0
73,ZATT,2694,2016-12-31,896118.0
74,ZATT,2694,2016-11-30,892646.0
75,ZATT,2694,2016-10-31,889827.0
76,ZATT,2694,2016-09-30,892047.0
77,ZATT,2694,2016-08-31,896597.0
78,ZATT,2694,2016-07-31,902055.0
79,ZATT,2694,2016-06-30,906037.0
80,ZATT,2694,2016-05-31,910087.0
81,ZATT,2694,2016-04-30,912526.0
82,ZATT,2694,2016-03-31,914766.0
83,ZATT,2694,2016-02-29,911319.0
84,ZATT,2694,2016-01-31,908025.0
85,ZATT,2694,2015-12-31,905943.0
86,ZATT,2694,2015-11-30,907990.0
87,ZATT,2694,2015-10-31,911611.0
88,ZATT,2694,2015-09-30,913238.0
89,ZATT,2694,2015-08-31,913144.0
90,ZATT,2694,2015-07-31,911012.0
91,ZATT,2694,2015-06-30,906939.0
92,ZATT,2694,2015-05-31,904341.0
93,ZATT,2694,2015-04-30,900452.0
94,ZATT,2694,2015-03-31,896855.0
95,ZATT,2694,2015-02-28,898215.0
96,ZATT,2694,2015-01-31,901787.0
97,ZATT,2694,2014-12-31,910226.0
98,ZATT,2694,2014-11-30,910829.0
99,ZATT,2694,2014-10-31,911251.0
100,ZATT,2694,2014-09-30,909202.0
101,ZATT,2694,2014-08-31,909114.0
102,ZATT,2694,2014-07-31,908399.0
103,ZATT,2694,2014-06-30,910210.0
104,ZATT,2694,2014-05-31,910702.0
105,ZATT,2694,2014-04-30,916125.0
106,ZATT,2694,2014-03-31,916863.0
107,ZATT,2694,2014-02-28,916031.0
108,ZATT,2694,2014-01-31,908565.0
109,ZATT,2694,2013-12-31,898794.0
110,ZATT,2694,2013-11-30,892860.0
111,ZATT,2694,2013-10-31,889223.0
112,ZATT,2694,2013-09-30,888637.0
113,ZATT,2694,2013-08-31,886014.0
114,ZATT,2694,2013-07-31,884369.0
115,ZATT,2694,2013-06-30,881641.0
116,ZATT,2694,2013-05-31,875747.0
117,ZATT,2694,2013-04-30,867883.0
118,ZATT,2694,2013-03-31,862129.0
119,ZATT,2694,2013-02-28,857771.0
120,ZATT,2694,2013-01-31,857808.0
121,ZATT,2694,2012-12-31,859843.0
122,ZATT,2694,2012-11-30,863393.0
123,ZATT,2694,2012-10-31,863159.0
124,ZATT,2694,2012-09-30,860442.0
125,ZATT,2694,2012-08-31,856703.0
126,ZATT,2694,2012-07-31,855279.0
127,ZATT,2694,2012-06-30,854660.0
128,ZATT,2694,2012-05-31,856720.0
129,ZATT,2694,2012-04-30,857121.0
130,ZATT,2694,2012-03-31,857405.0
131,ZATT,2694,2012-02-29,859802.0
132,ZATT,2694,2012-01-31,864204.0
133,ZATT,2694,2011-12-31,867879.0
134,ZATT,2694,2011-11-30,868236.0
135,ZATT,2694,2011-10-31,867535.0
136,ZATT,2694,2011-09-30,868405.0
137,ZATT,2694,2011-08-31,873710.0
138,ZATT,2694,2011-07-31,876608.0
139,ZATT,2694,2011-06-30,878757.0
140,ZATT,2694,2011-05-31,881668.0
141,ZATT,2694,2011-04-30,888470.0
142,ZATT,2694,2011-03-31,899098.0
143,ZATT,2694,2011-02-28,903603.0
144,ZATT,2694,2011-01-31,903267.0
145,ZATT,2694,2010-12-31,901096.0
146,ZATT,2694,2010-11-30,905978.0
147,ZATT,2694,2010-10-31,914625.0
148,ZATT,2694,2010-09-30,924517.0
149,ZATT,2694,2010-08-31,929253.0
150,ZATT,2694,2010-07-31,936250.0
151,ZATT,2694,2010-06-30,940252.0
152,ZATT,2694,2010-05-31,941910.0
153,ZATT,2694,2010-04-30,939261.0
154,ZATT,2694,2010-03-31,936075.0
155,ZATT,2694,2010-02-28,938311.0
156,ZATT,2694,2010-01-31,944530.0
157,ZATT,2694,2009-12-31,950418.0
158,ZATT,2694,2009-11-30,952542.0
