None,indicator_id,region_id,date,value
0,ZSFH,2694,2023-01-31,605655.781796175
1,ZSFH,2694,2022-12-31,606152.087047151
2,ZSFH,2694,2022-11-30,607121.637261587
3,ZSFH,2694,2022-10-31,666604.0
4,ZSFH,2694,2022-09-30,667014.0
5,ZSFH,2694,2022-08-31,668200.0
6,ZSFH,2694,2022-07-31,668979.0
7,ZSFH,2694,2022-06-30,667364.0
8,ZSFH,2694,2022-05-31,661983.0
9,ZSFH,2694,2022-04-30,656580.0
10,ZSFH,2694,2022-03-31,642986.0
11,ZSFH,2694,2022-02-28,635702.0
12,ZSFH,2694,2022-01-31,637235.0
13,ZSFH,2694,2021-12-31,627652.0
14,ZSFH,2694,2021-11-30,622824.0
15,ZSFH,2694,2021-10-31,616932.0
16,ZSFH,2694,2021-09-30,613587.0
17,ZSFH,2694,2021-08-31,610225.0
18,ZSFH,2694,2021-07-31,606744.0
19,ZSFH,2694,2021-06-30,594028.0
20,ZSFH,2694,2021-05-31,581654.0
21,ZSFH,2694,2021-04-30,570603.0
22,ZSFH,2694,2021-03-31,560487.0
23,ZSFH,2694,2021-02-28,552789.0
24,ZSFH,2694,2021-01-31,544090.0
25,ZSFH,2694,2020-12-31,533126.0
26,ZSFH,2694,2020-11-30,525038.0
27,ZSFH,2694,2020-10-31,522591.0
28,ZSFH,2694,2020-09-30,522466.0
29,ZSFH,2694,2020-08-31,514615.0
30,ZSFH,2694,2020-07-31,501521.0
31,ZSFH,2694,2020-06-30,494991.0
32,ZSFH,2694,2020-05-31,490366.0
33,ZSFH,2694,2020-04-30,489145.0
34,ZSFH,2694,2020-03-31,488568.0
35,ZSFH,2694,2020-02-29,489033.0
36,ZSFH,2694,2020-01-31,488709.0
37,ZSFH,2694,2019-12-31,487780.0
38,ZSFH,2694,2019-11-30,487975.0
39,ZSFH,2694,2019-10-31,488225.0
40,ZSFH,2694,2019-09-30,488307.0
41,ZSFH,2694,2019-08-31,489691.0
42,ZSFH,2694,2019-07-31,493323.0
43,ZSFH,2694,2019-06-30,495562.0
44,ZSFH,2694,2019-05-31,497529.0
45,ZSFH,2694,2019-04-30,496039.0
46,ZSFH,2694,2019-03-31,495256.0
47,ZSFH,2694,2019-02-28,495774.0
