,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage,listingSubType.is_FSBA,listingSubType.is_foreclosure,listingSubType.is_comingSoon,listingSubType.is_openHouse
0,,SINGLE_FAMILY,10018.8,"2003 Waters Dr, Raleigh, NC 27610",-1,279900,,-78.61799,35.752907,,FOR_SALE,6409690,https://photos.zillowstatic.com/fp/14ac6c648da411bde49d077d71f8624b-p_e.jpg,1556,2,sqft,USA,USD,4,True,True,,,
1,,SINGLE_FAMILY,6534.0,"3117 Berry Ct, Raleigh, NC 27610",-1,280000,,-78.61783,35.738815,,FOR_SALE,6400111,https://photos.zillowstatic.com/fp/cd189fc534f46f472e9c691972b6506a-p_e.jpg,1089,2,sqft,USA,USD,3,True,True,,,
2,,SINGLE_FAMILY,0.44,"5801 Coffey St, Raleigh, NC 27604",-1,295000,,-78.53489,35.797527,,FOR_SALE,6418658,https://photos.zillowstatic.com/fp/71dd293931efefd83fce09dadee6769b-p_e.jpg,1750,2,acres,USA,USD,2,True,True,,,
3,,SINGLE_FAMILY,1.59,"10313 Ray Rd, Raleigh, NC 27613",-1,300000,,-78.71925,35.92048,,FOR_SALE,6459628,https://photos.zillowstatic.com/fp/9d680fe6d31654446c1ad506ae89ded0-p_e.jpg,3754,4,acres,USA,USD,4,True,,True,,
4,,SINGLE_FAMILY,5662.8,"8208 Wynewood Ct, Raleigh, NC 27616",-1,240000,,-78.55763,35.8863,,FOR_SALE,6504051,https://photos.zillowstatic.com/fp/f800b222da3cc142ed3c7d57e5c8d705-p_e.jpg,1100,2,sqft,USA,USD,3,True,,,True,
5,,SINGLE_FAMILY,0.31,"904 Friar Tuck Rd, Raleigh, NC 27610",-1,265000,,-78.596825,35.7659,,FOR_SALE,6383993,https://photos.zillowstatic.com/fp/7ca29ca8ffdf143ddb4f3b1bc8c49308-p_e.jpg,980,1,acres,USA,USD,3,True,True,,,
6,,SINGLE_FAMILY,10454.4,"2905 Frinks St, Raleigh, NC 27610",-1,289900,,-78.62321,35.73999,,FOR_SALE,6375563,https://photos.zillowstatic.com/fp/55fb8960609bbf3a40f165effb4cec0f-p_e.jpg,1189,2,sqft,USA,USD,3,True,True,,,
7,,SINGLE_FAMILY,8276.4,"2314 Kennington Rd, Raleigh, NC 27610",-1,299500,,-78.60606,35.79324,,FOR_SALE,6401187,https://photos.zillowstatic.com/fp/3f5a102d45c9900f5e2582b50473fc1b-p_e.jpg,793,1,sqft,USA,USD,2,True,True,,,
8,,SINGLE_FAMILY,10454.4,"915 Edison Rd, Raleigh, NC 27610",-1,219900,,-78.58424,35.764717,,FOR_SALE,6404858,https://photos.zillowstatic.com/fp/2549dce9b838cf9bf807a7afae503b89-p_e.jpg,1050,1,sqft,USA,USD,3,True,True,,,
9,,SINGLE_FAMILY,4791.6,"3615 Cyrus St, Raleigh, NC 27610",-1,298900,,-78.62144,35.73359,,FOR_SALE,65344664,https://photos.zillowstatic.com/fp/e65d02a741d0d36f49e254c9d27372c0-p_e.jpg,1535,3,sqft,USA,USD,3,True,,,True,
10,,SINGLE_FAMILY,0.3,"4028 Mackinac Island Ln, Raleigh, NC 27610",-1,300000,,-78.5335,35.724155,,FOR_SALE,50111500,https://photos.zillowstatic.com/fp/cccf938c1322d7cb4801224b1995ea41-p_e.jpg,1513,2,acres,USA,USD,3,True,,,True,
11,,SINGLE_FAMILY,9583.2,"1138 Ricochet Dr, Raleigh, NC 27610",-1,247150,,-78.61962,35.734947,,FOR_SALE,68321162,https://photos.zillowstatic.com/fp/5c62ccdef8167f554956fef118b43440-p_e.jpg,1120,2,sqft,USA,USD,3,True,True,,,
12,,SINGLE_FAMILY,7405.2,"213 Angier Ave, Raleigh, NC 27610",-1,275000,,-78.61163,35.776203,,FOR_SALE,6399768,https://photos.zillowstatic.com/fp/be1452e950355dc65457890f3700e177-p_e.jpg,870,1,sqft,USA,USD,2,True,True,,,True
13,,SINGLE_FAMILY,0.46,"7241 Jacqueline Ln, Raleigh, NC 27616",-1,300000,,-78.55964,35.87895,,FOR_SALE,6466764,https://photos.zillowstatic.com/fp/8d29fc14f2225a1b295d278250f8b526-p_e.jpg,1208,2,acres,USA,USD,3,True,,,True,
14,,SINGLE_FAMILY,0.44,"6204 Shirley St, Raleigh, NC 27610",-1,260000,,-78.53369,35.75112,,FOR_SALE,6394419,https://photos.zillowstatic.com/fp/1681abd03611a1bb3b10e2dacf1dafaf-p_e.jpg,1380,2,acres,USA,USD,3,True,True,,,
