,primary_photo,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,primary_photo.href,tax_record,other_listings,community.advertisers,community.property_id,community.description.name,products
0,,2022-04-15T16:04:23Z,"['central_air', 'community_outdoor_space', 'corner_lot', 'forced_air', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'vaulted_ceiling', 'master_suite', 'shopping']",8248-City-Loft-Ct_Raleigh_NC_27613_M60769-31053,for_sale,2022-04-15T16:11:14Z,,"[{'name': 'Keller Williams Elite Realty', 'photo': None, 'type': 'Office'}]",,,325000,False,6076931053,,,2942137411,,[{'office_name': None}],TANC,,,mls,8F68D12A86B64D539B85F61A149DDB55,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2002.0,,2013-05-31,132500.0,2.0,,1.0,1307.0,1275.0,3.0,townhouse,,,2.0,2.0,townhomes,27613,North Carolina,-78.735297,35.887758,Raleigh,NC,8248 City Loft Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=8248%20City%20Loft%20Ct%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=RdVlXA5iH9MXmzhHfBChtPZdayo=,37183,Wake,"[{'listing_id': '2942137411', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '629076234', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '641053622', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '628998838', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '570400818', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '565799358', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
1,,2022-04-15T14:22:02Z,"['carport', 'central_air', 'community_outdoor_space', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'single_story', 'no_hoa', 'big_lot', 'farm', 'ranch']",3225-Banks-Rd_Raleigh_NC_27603_M56260-41335,for_sale,2022-04-15T13:23:40Z,,"[{'name': 'Sell Your Home Services', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/8a09d8a8884aa58389f3ea15464004c6l-m291747596s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/8a09d8a8884aa58389f3ea15464004c6l-m3550845857s-w1024_h768.jpg'}]",,349900,False,5626041335,,,2942131612,,[{'office_name': None}],TANC,,,mls,835C9B8B8C1B25C79E45F432E221AF4A,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1980.0,,2004-02-02,124000.0,2.0,,,39640.0,1456.0,2.0,,,,1.0,3.0,single_family,27603,North Carolina,-78.696677,35.634339,Raleigh,NC,3225 Banks Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3225%20Banks%20Rd%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=T8D5IOUvKMJe5ENeC-8g4qnlnHQ=,37183,Wake,"[{'listing_id': '2942131612', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",https://ap.rdcpix.com/8a09d8a8884aa58389f3ea15464004c6l-m291747596s-w1024_h768.jpg,,,,,,
2,,2022-04-15T12:24:03Z,"['community_elevator', 'community_golf', 'community_outdoor_space', 'disability_features', 'family_room', 'fireplace', 'golf_course_lot_or_frontage', 'golf_course_view', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'single_story', 'garage_1_or_more', 'granite_kitchen', 'modern_kitchen', 'large_kitchen', 'floor_plan', 'pond', 'clubhouse', 'golf_course', 'shopping']",10400-Rosegate-Ct-Unit-4_Raleigh_NC_27617_M68035-71258,for_sale,2022-04-15T12:30:20Z,,"[{'name': 'Keller Williams Preferred Realty - Brier Creek', 'photo': None, 'type': 'Office'}]",,,329000,False,6803571258,,,2942130336,,[{'office_name': None}],TANC,,,mls,2555CE99952E96CB28F661375305AC1E,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2008.0,,2016-10-17,176000.0,2.0,,,,1498.0,2.0,condo,,1.0,1.0,2.0,condos,27617,North Carolina,-78.793014,35.902392,Raleigh,NC,10400 Rosegate Ct Unit 4,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=10400%20Rosegate%20Ct%20Unit%204%2C%20Raleigh%2C%20NC%2027617&size=640x480&source=outdoor&signature=yExvF0Lge_HDg64de9HFRLNLbnE=,37183,Wake,"[{'listing_id': '2942130336', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '618574250', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '589026126', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '558634302', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '560472702', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '558633862', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '539690538', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '538781430', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '517278394', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
3,,2022-04-15T12:04:16Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'disability_features', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'open_kitchen', 'fenced_yard', 'master_bathroom', 'big_lot', 'shopping']",3991-Cane-Garden-Dr_Raleigh_NC_27610_M69200-48331,for_sale,2022-04-15T12:05:56Z,,"[{'name': 'DASH Carolina', 'photo': None, 'type': 'Office'}]",,,349900,False,6920048331,,,2942129965,,[{'office_name': None}],TANC,,,mls,97852408376C0BA27EA8A48E824C6BC9,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2005.0,,2019-07-29,220000.0,2.0,,1.0,9148.0,2004.0,3.0,,,2.0,2.0,3.0,single_family,27610,North Carolina,-78.547091,35.72648,Raleigh,NC,3991 Cane Garden Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3991%20Cane%20Garden%20Dr%2C%20Raleigh%2C%20NC%2027610&size=640x480&source=outdoor&signature=CNmIL-k_S6eHL8gi6b1rVGIGIJY=,37183,Wake,"[{'listing_id': '2942129965', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2367901620', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
4,,2022-04-15T12:05:25Z,"['central_air', 'community_outdoor_space', 'disability_features', 'family_room', 'forced_air', 'laundry_room', 'two_or_more_stories', 'fenced_yard', 'front_porch']",4223-Viewmont-Dr_Raleigh_NC_27610_M65145-33826,for_sale,2022-04-15T12:05:56Z,"[{'start_date': '2022-04-16T12:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-04-16T15:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'CB Advantage-(Cary Office)', 'photo': None, 'type': 'Office'}]",,,335000,False,6514533826,,,2942129962,,[{'office_name': None}],TANC,,,mls,2137FC4460B22B9169B110BFAF4D49BA,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1999.0,,1999-11-10,123500.0,2.0,,1.0,6970.0,1753.0,3.0,,,,2.0,4.0,single_family,27610,North Carolina,-78.578055,35.742061,Raleigh,NC,4223 Viewmont Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4223%20Viewmont%20Dr%2C%20Raleigh%2C%20NC%2027610&size=640x480&source=outdoor&signature=EtU5S2KCQCOjUZfLIaJVtmlq2XU=,37183,Wake,"[{'listing_id': '2942129962', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
5,,2022-04-14T18:32:19Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'shopping']",7632-Winners-Edge-St_Raleigh_NC_27617_M67474-66602,for_sale,2022-04-14T18:38:11Z,,"[{'name': 'DASH Carolina', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/4921e728221c9e5e27a3633cf8cc5f99l-m749364880s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/4921e728221c9e5e27a3633cf8cc5f99l-m3945441687s-w1024_h768.jpg'}]",,310000,False,6747466602,,,2942101408,,[{'office_name': None}],TANC,,,mls,9609D78D0D5364CDF91E9D047D9E0CAB,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2004.0,,2020-01-09,206500.0,2.0,,1.0,1307.0,1409.0,3.0,townhouse,,,2.0,2.0,townhomes,27617,North Carolina,-78.771157,35.913576,Raleigh,NC,7632 Winners Edge St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7632%20Winners%20Edge%20St%2C%20Raleigh%2C%20NC%2027617&size=640x480&source=outdoor&signature=_QNoYb-ZYZKuDO32QD40IwXI9VI=,37183,Wake,"[{'listing_id': '2942101408', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2792666748', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '621662846', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '539032914', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '528746030', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/4921e728221c9e5e27a3633cf8cc5f99l-m749364880s-w1024_h768.jpg,,,,,,
6,,2022-04-14T17:01:19Z,"['central_air', 'community_outdoor_space', 'cul_de_sac', 'energy_efficient', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'kitchen_island', 'low_hoa', 'ensuite', 'hoa']",8154-Cohosh-Ct_Raleigh_NC_27616_M65333-20233,for_sale,2022-04-14T17:05:01Z,"[{'start_date': '2022-04-16T10:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-04-16T14:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'eXp Realty, LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/96997ce4febd0bc827d6f61ed356dbdbl-m2809546372s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/96997ce4febd0bc827d6f61ed356dbdbl-m1241410557s-w1024_h768.jpg'}]",,319000,False,6533320233,,,2942097185,,[{'office_name': None}],TANC,,,mls,E3DCC53BFBE4F6460B9135EE3C5C9F25,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2004.0,,2004-11-15,131000.0,2.0,,1.0,5227.0,1640.0,3.0,,,1.0,2.0,2.0,single_family,27616,North Carolina,-78.518004,35.891047,Raleigh,NC,8154 Cohosh Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=8154%20Cohosh%20Ct%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=LsW3sfpy7abrFPfjYuHcASr6WPo=,37183,Wake,"[{'listing_id': '2942097185', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",https://ap.rdcpix.com/96997ce4febd0bc827d6f61ed356dbdbl-m2809546372s-w1024_h768.jpg,,,,,,
7,,2022-04-14T12:18:38Z,"['city_view', 'community_clubhouse', 'community_outdoor_space', 'community_tennis_court', 'cul_de_sac', 'family_room', 'fireplace', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'fenced_yard', 'jack_and_jill_bathroom', 'golf_course', 'tennis', 'trails', 'views', 'lake']",4957-Liverpool-Ln_Raleigh_NC_27604_M59612-64751,for_sale,2022-04-14T12:22:24Z,"[{'start_date': '2022-04-15T11:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-04-15T13:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Aimee Anderson & Associates', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/e4f6dbf3e0909339cc0815dcfdf1a2b8l-m3848994475s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/e4f6dbf3e0909339cc0815dcfdf1a2b8l-m2525441131s-w1024_h768.jpg'}]",,350000,False,5961264751,,,2942086830,,[{'office_name': None}],TANC,,,mls,3307FF2971EC1A42FE7075EFE454507F,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1989.0,,2002-07-19,124500.0,2.0,,1.0,7841.0,1536.0,3.0,,,,2.0,3.0,single_family,27604,North Carolina,-78.558052,35.80376,Raleigh,NC,4957 Liverpool Ln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4957%20Liverpool%20Ln%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=OL4gxHlgxiLQv7zjzTPK2BeMCsk=,37183,Wake,"[{'listing_id': '2942086830', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",https://ap.rdcpix.com/e4f6dbf3e0909339cc0815dcfdf1a2b8l-m3848994475s-w1024_h768.jpg,,,,,,
8,,2022-04-14T11:54:12Z,"['central_air', 'community_outdoor_space', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'community_swimming_pool', 'two_or_more_stories', 'rental_property']",5335-Silver-Moon-Ln_Raleigh_NC_27606_M51529-41084,for_sale,2022-04-14T11:41:56Z,,"[{'name': 'Northside Realty Inc.', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/4fb40b01631591bae7216742a83ed077l-m3817126137s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/4fb40b01631591bae7216742a83ed077l-m904397852s-w1024_h768.jpg'}]",,325000,False,5152941084,,,2942086326,,[{'office_name': None}],TANC,,,mls,31B987AEF6EE0A10D3C78BDE5B3AA7D1,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2003.0,,2019-03-14,207500.0,2.0,,1.0,1307.0,1433.0,3.0,townhouse,,,2.0,2.0,townhomes,27606,North Carolina,-78.712551,35.750985,Raleigh,NC,5335 Silver Moon Ln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5335%20Silver%20Moon%20Ln%2C%20Raleigh%2C%20NC%2027606&size=640x480&source=outdoor&signature=hwjBbA-h5enq8f4L1uyCHWQgZlw=,37183,Wake,"[{'listing_id': '2942086326', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '650531322', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '568053090', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/4fb40b01631591bae7216742a83ed077l-m3817126137s-w1024_h768.jpg,,,,,,
9,,2022-04-14T09:40:30Z,"['community_outdoor_space', 'hardwood_floors', 'garage_1_or_more', 'single_story', 'fenced_yard']",3300-Polaris-Ct_Raleigh_NC_27604_M64414-94688,for_sale,2022-04-14T09:42:01Z,,"[{'name': 'Hunter Rowe Real Estate', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/4b722f765619dba5a94fc33ba2b5db72l-m1705912870s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/4b722f765619dba5a94fc33ba2b5db72l-m4144260367s-w1024_h768.jpg'}]",,345000,False,6441494688,,,2942084759,,[{'office_name': None}],TANC,,,mls,0FE6E362EC867D294A4414AA3FE86A47,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1983.0,,2018-07-27,192500.0,2.0,,,10890.0,1613.0,2.0,,,1.0,,4.0,single_family,27604,North Carolina,-78.579628,35.825575,Raleigh,NC,3300 Polaris Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3300%20Polaris%20Ct%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=lQqVIQcy12hLSgRVtMzr7tgbNiQ=,37183,Wake,"[{'listing_id': '2942084759', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '643556886', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '560652306', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/4b722f765619dba5a94fc33ba2b5db72l-m1705912870s-w1024_h768.jpg,,,,,,
