,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage,listingSubType.is_FSBA,listingSubType.is_comingSoon,listingSubType.is_openHouse
0,,SINGLE_FAMILY,0.34,"8413 Running Cedar Trl, Raleigh, NC 27615",-1,375000,,-78.63599,35.8937,,FOR_SALE,6453218,https://photos.zillowstatic.com/fp/f51669d350658ffd4fec481c98118e9e-p_e.jpg,2016,3,acres,USA,USD,3,True,True,,
1,,SINGLE_FAMILY,4791.6,"5049 Dawn Piper Dr, Raleigh, NC 27613",-1,375000,,-78.74403,35.92228,,FOR_SALE,50109688,https://photos.zillowstatic.com/fp/7f27da14bb9bd8cbfa132c9abdc5b7c6-p_e.jpg,1514,3,sqft,USA,USD,3,True,True,,
2,,SINGLE_FAMILY,6534.0,"3100 Sweetgum Cir, Raleigh, NC 27610",-1,362000,,-78.58773,35.76846,,FOR_SALE,6499079,https://photos.zillowstatic.com/fp/872de6918b43a9d1cc07b5aa7f8c4ea6-p_e.jpg,1639,2,sqft,USA,USD,3,True,True,,
3,,SINGLE_FAMILY,5227.2,"3315 Sunbright Ln, Raleigh, NC 27610",-1,355000,,-78.59065,35.752453,,FOR_SALE,71898602,https://photos.zillowstatic.com/fp/905d30b63a72295718dae7df742eb44f-p_e.jpg,2142,3,sqft,USA,USD,4,True,True,,
4,,SINGLE_FAMILY,6098.4,"4920 Morning Edge Dr, Raleigh, NC 27613",-1,365000,,-78.74183,35.923035,,FOR_SALE,53458571,https://photos.zillowstatic.com/fp/e12593df2dd9a983a827a724c7834d22-p_e.jpg,1512,3,sqft,USA,USD,3,True,,True,
5,,SINGLE_FAMILY,8712.0,"1105 Culpepper Ln, Raleigh, NC 27610",-1,355000,,-78.600006,35.793583,,FOR_SALE,6386579,https://photos.zillowstatic.com/fp/581cbf051e0f4e6ffd2e65697609de09-p_e.jpg,1029,2,sqft,USA,USD,3,True,True,,True
6,,SINGLE_FAMILY,9147.6,"8804 Juaquin Ln, Raleigh, NC 27603",-1,356000,,-78.711006,35.655663,,FOR_SALE,6496229,https://photos.zillowstatic.com/fp/d1d7be23fb310f1796c49e5fd76b62e2-p_e.jpg,1411,3,sqft,USA,USD,3,True,True,,
7,,SINGLE_FAMILY,1.9,"200 Lassiter Farm Rd, Raleigh, NC 27603",-1,357000,,-78.63487,35.6312,,FOR_SALE,6542703,https://photos.zillowstatic.com/fp/247de3d82e0e5ec852834844f3aa6c59-p_e.jpg,1399,2,acres,USA,USD,3,True,True,,
8,,SINGLE_FAMILY,10.01,"10632 Pine Thicket Ct, Raleigh, NC 27603",-1,360000,,-78.69867,35.62471,,FOR_SALE,6512049,https://photos.zillowstatic.com/fp/b253ed5f77d6337b0ace9d02595953ec-p_e.jpg,1809,2,acres,USA,USD,3,True,True,,
9,,SINGLE_FAMILY,0.48,"5333 Olive Rd, Raleigh, NC 27606",-1,351000,,-78.7196,35.751003,,FOR_SALE,6387810,https://photos.zillowstatic.com/fp/f7fe071cdb3c15241ed6e5182b4e4090-p_e.jpg,1284,2,acres,USA,USD,3,True,True,,
10,,SINGLE_FAMILY,8712.0,"3416 Suncrest Village Ln, Raleigh, NC 27616",-1,365000,,-78.52165,35.873825,,FOR_SALE,60398813,https://photos.zillowstatic.com/fp/c73d77446bd5d362fed9e33a0b0d035e-p_e.jpg,1641,3,sqft,USA,USD,3,True,,True,
11,,SINGLE_FAMILY,4791.6,"1944 Castle Pines Dr, Raleigh, NC 27604",-1,365000,,-78.539856,35.809326,,FOR_SALE,6552904,https://photos.zillowstatic.com/fp/3e66fdaaef4473288a007c27d9ecd359-p_e.jpg,1216,2,sqft,USA,USD,2,True,True,,
12,,SINGLE_FAMILY,8712.0,"7417 Wisconsin Ct, Raleigh, NC 27615",-1,372000,,-78.59414,35.883156,,FOR_SALE,6529357,https://photos.zillowstatic.com/fp/3602699efe9c99f8b3b0578bdbe7bc61-p_e.jpg,1202,2,sqft,USA,USD,3,True,True,,
13,,SINGLE_FAMILY,6969.6,"401 Dickens Dr, Raleigh, NC 27610",-1,369000,,-78.59997,35.783806,,FOR_SALE,6500917,https://photos.zillowstatic.com/fp/1deba1679b060e1badddf7f1e8471387-p_e.jpg,1430,2,sqft,USA,USD,3,True,True,,
14,,SINGLE_FAMILY,6098.4,"1105 Pettis Pl, Raleigh, NC 27610",-1,358000,,-78.621704,35.775314,,FOR_SALE,6406557,https://photos.zillowstatic.com/fp/bfbd53bb5a6cd9736f35ccfa2e1da0e9-p_e.jpg,1282,1,sqft,USA,USD,3,True,True,,
