,primary_photo,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,primary_photo.href,tax_record,other_listings,community.advertisers,community.property_id,community.description.name,location.address.coordinate
0,,2022-04-15T12:21:44Z,"['central_air', 'community_outdoor_space', 'cul_de_sac', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'recreation_facilities', 'basement', 'garage_1_or_more', 'garage_2_or_more', 'two_or_more_stories', 'fenced_yard', 'cathedral_ceiling', 'shopping']",8004-Brewington-Ct_Raleigh_NC_27615_M60186-64453,for_sale,2022-04-15T12:25:06Z,,"[{'name': 'Select Realty', 'photo': None, 'type': 'Office'}]",,,389000,False,6018664453,,,2942130280,,[{'office_name': None}],TANC,,,mls,17A1193A24CCCA899B620AA795A5F622,,,,,,,True,,,True,False,False,co_broke,['co_broke'],basic_opt_in,1982.0,,2007-05-25,184000.0,3.0,,,13504.0,1830.0,3.0,,,2.0,,4.0,single_family,27615,North Carolina,-78.642567,35.887214,Raleigh,NC,8004 Brewington Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=8004%20Brewington%20Ct%2C%20Raleigh%2C%20NC%2027615&size=640x480&source=outdoor&signature=qhTjL-Sbh3L5vopxNf8U8NCUL_Q=,37183,Wake,"[{'listing_id': '2942130280', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
1,,2022-04-15T10:48:07Z,"['central_air', 'community_outdoor_space', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'fenced_yard', 'master_bedroom', 'smart_homes', 'shopping']",5413-Roan-Mountain-Pl_Raleigh_NC_27613_M64337-55600,for_sale,2022-04-15T10:48:43Z,,"[{'name': 'FATHOM REALTY', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/4c794d1d7231606f9567e310627f8af6l-m4047826476s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/4c794d1d7231606f9567e310627f8af6l-m3731683888s-w1024_h768.jpg'}]",,380000,False,6433755600,,,2942129314,,[{'office_name': None}],TANC,,,mls,69B09A00B032E9139C652450DF48F061,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2001.0,,2012-02-23,147500.0,2.0,,1.0,4530.0,1395.0,3.0,,,1.0,2.0,3.0,single_family,27613,North Carolina,-78.744136,35.935495,Raleigh,NC,5413 Roan Mountain Pl,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5413%20Roan%20Mountain%20Pl%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=CcyOQCVSO9X4ECffzJ576bn0k-Y=,37063,Durham,"[{'listing_id': '2942129314', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '647396398', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '545749834', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '533310414', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/4c794d1d7231606f9567e310627f8af6l-m4047826476s-w1024_h768.jpg,,,,,,
2,,2022-04-15T03:01:54Z,"['central_air', 'community_outdoor_space', 'cul_de_sac', 'den_or_office', 'forced_air', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'fenced_yard']",3213-Broyhill-Cir_Raleigh_NC_27604_M63899-00955,for_sale,2022-04-15T03:05:27Z,,"[{'name': 'Keller Williams Preferred Realty - Brier Creek', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/3d274a7dc8ee475d8e7744119e91f706l-m3856475096s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/3d274a7dc8ee475d8e7744119e91f706l-m2568854074s-w1024_h768.jpg'}]",,398000,False,6389900955,,,2942123038,,[{'office_name': None}],TANC,,,mls,AA906FBBC324873EC1B10541883EB737,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1966.0,,2019-12-27,252500.0,2.0,,,16553.0,1831.0,2.0,,,,,4.0,single_family,27604,North Carolina,-78.60011,35.833727,Raleigh,NC,3213 Broyhill Cir,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3213%20Broyhill%20Cir%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=RXuFPtMMLCgqhxLcNWmtJ5rP_QQ=,37183,Wake,"[{'listing_id': '2942123038', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2756280840', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '619812430', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/3d274a7dc8ee475d8e7744119e91f706l-m3856475096s-w1024_h768.jpg,,,,,,
3,,2022-04-14T16:48:21Z,"['central_air', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'hoa', 'maintenance']",3225-Edgetone-Dr_Raleigh_NC_27604_M62894-76760,for_sale,2022-04-14T16:50:42Z,,"[{'name': 'Keller Williams Elite Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/04912c91bd469cef62fbef9fe036dd66l-m1825340104s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/04912c91bd469cef62fbef9fe036dd66l-m1199710084s-w1024_h768.jpg'}]",,359000,False,6289476760,,"[{'type': None, 'href': 'https://tours.visualproperties.net/700de3df/nb/'}]",2942096529,,[{'office_name': None}],TANC,,,mls,C9E9AA1A7580D16E63178D495BA68A5C,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2000.0,,2007-07-26,170000.0,2.0,,1.0,8276.0,1623.0,3.0,,,2.0,2.0,3.0,single_family,27604,North Carolina,-78.583545,35.822169,Raleigh,NC,3225 Edgetone Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3225%20Edgetone%20Dr%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=s3NR6W-wM5gWrPaRhoiICfWkw7Y=,37183,Wake,"[{'listing_id': '2942096529', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",https://ap.rdcpix.com/04912c91bd469cef62fbef9fe036dd66l-m1825340104s-w1024_h768.jpg,,,,,,
4,,2022-04-14T15:23:22Z,"['central_air', 'city_view', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'community_swimming_pool', 'two_or_more_stories', 'front_porch', 'clubhouse', 'shopping']",3416-Suncrest-Village-Ln_Raleigh_NC_27616_M68074-40680,for_sale,2022-04-14T15:26:17Z,"[{'start_date': '2022-04-15T14:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-04-15T16:00:00', 'dst': True, 'time_zone': 'EST'}, {'start_date': '2022-04-16T10:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-04-16T16:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'eXp Realty, LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/865e93c0b8939450cdc9466281e3a7c3l-m3714409181s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/865e93c0b8939450cdc9466281e3a7c3l-m4030170694s-w1024_h768.jpg'}]",,365000,False,6807440680,,,2942092784,,[{'office_name': None}],TANC,,,mls,EF63440B34D86F0695A813854CF171EF,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2001.0,,2017-03-30,193000.0,2.0,,1.0,8712.0,1641.0,3.0,,,,2.0,3.0,single_family,27616,North Carolina,-78.521655,35.873827,Raleigh,NC,3416 Suncrest Village Ln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3416%20Suncrest%20Village%20Ln%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=H4BDqZl0vAj__xRkerT_2KIhFPs=,37183,Wake,"[{'listing_id': '2942092784', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '624963066', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '594339270', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '514931994', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/865e93c0b8939450cdc9466281e3a7c3l-m3714409181s-w1024_h768.jpg,,,,,,
5,,2022-04-14T15:18:55Z,"['central_air', 'community_outdoor_space', 'fireplace', 'forced_air', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'granite_kitchen', 'updated_kitchen', 'fenced_yard', 'rental_property', 'pond', 'trails']",6125-Saybrooke-Dr_Raleigh_NC_27604_M66140-67704,for_sale,2022-04-14T15:26:17Z,,"[{'name': 'Mark Spain Real Estate', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/5b12fdfce626e89c7335ae5040c6b0b2l-m4128717257s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/5b12fdfce626e89c7335ae5040c6b0b2l-m783245289s-w1024_h768.jpg'}]",,399000,False,6614067704,,,2942092786,,[{'office_name': 'Mark Spain Real Estate'}],TANC,,,mls,A65461C3CCA0A79F8D57DD84DB09311E,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1999.0,,2009-11-09,162000.0,2.0,,1.0,6534.0,1637.0,3.0,,,2.0,2.0,3.0,single_family,27604,North Carolina,-78.538615,35.844054,Raleigh,NC,6125 Saybrooke Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=6125%20Saybrooke%20Dr%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=n_dyUFa-pFfmnKvj4wa8v5MX6og=,37183,Wake,"[{'listing_id': '2942092786', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '513980038', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/5b12fdfce626e89c7335ae5040c6b0b2l-m4128717257s-w1024_h768.jpg,,,,,,
6,,2022-04-14T15:26:05Z,"['central_air', 'fireplace', 'forced_air', 'basement', 'single_story', 'garage_1_or_more', 'open_floor_plan', 'floor_plan']",3408-Greywood-Dr_Raleigh_NC_27604_M53751-93423,for_sale,2022-04-13T22:20:18Z,,"[{'name': 'Offerpad Brokerage Llc', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/9236b09df23dfdaeec1e99ec0a38eb65l-m1493512689s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/9236b09df23dfdaeec1e99ec0a38eb65l-m418813318s-w1024_h768.jpg'}]",,369900,False,5375193423,,,2942072494,,[{'office_name': 'OfferPad Brokerage LLC'}],TANC,,,mls,6F377FA0A052BBC641148FBEDFC97AAD,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1987.0,,2021-07-21,260000.0,2.0,,,13068.0,1650.0,2.0,,,1.0,1.0,3.0,single_family,27604,North Carolina,-78.590439,35.827684,Raleigh,NC,3408 Greywood Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3408%20Greywood%20Dr%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=d7m-X1JbYF-hoMCIxF4fgiMCQhU=,37183,Wake,"[{'listing_id': '2942072494', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2699891493', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/9236b09df23dfdaeec1e99ec0a38eb65l-m1493512689s-w1024_h768.jpg,,,,,,
7,,2022-04-13T20:53:05Z,"['community_golf', 'corner_lot', 'game_room', 'golf_course_lot_or_frontage', 'horse_facilities', 'recreation_facilities', 'big_lot', 'golf_course']",8421-Camellia-Dr_Raleigh_NC_27613_M66598-45811,for_sale,2022-04-13T20:27:46Z,,"[{'name': 'Allen Tate Realtors-Raleigh-Falls of Neuse', 'photo': 'https://ap.rdcpix.com/569826821/06fa19acf2f47170ca75a347468039abg-c0s.jpg', 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/9cd703e989b1a98b06e1240413555f50l-m2027743569s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/9cd703e989b1a98b06e1240413555f50l-m594756682s-w1024_h768.jpg'}]",,374000,False,6659845811,,,2942068344,,[{'office_name': None}],TANC,,,mls,C074040CD51E02E78E4F4A810EA2511E,,,,,,,True,,,True,False,False,advantage_pro,"['core.agent', 'core.broker', 'listing_owner_lead.broker', 'listing_owner_brand.broker']",advantage_pro,,,2018-11-01,269000.0,,,,70567.0,,0.0,,,,,,land,27613,North Carolina,-78.684169,35.905644,Raleigh,NC,8421 Camellia Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=8421%20Camellia%20Dr%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=vt7iSFJbBmtSEUi-0nqoU5JlC_M=,37183,Wake,"[{'listing_id': '2942068344', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '647464562', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/9cd703e989b1a98b06e1240413555f50l-m2027743569s-w1024_h768.jpg,,,,,,
8,,2022-04-13T17:56:51Z,"['central_air', 'community_outdoor_space', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'vaulted_ceiling']",4229-Mangrove-Dr_Raleigh_NC_27616_M54360-41706,for_sale,2022-04-13T18:10:18Z,,"[{'name': 'Movil Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/f9386f1ff3b4fcbd5ec041eb9771ab49l-m1220791856s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/f9386f1ff3b4fcbd5ec041eb9771ab49l-m1010267607s-w1024_h768.jpg'}]",,365000,False,5436041706,,,2942061669,,[{'office_name': None}],TANC,,,mls,CD3E62061BBE78930AA94D3998E0B96A,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1997.0,,2019-12-23,228000.0,2.0,,1.0,11761.0,1622.0,3.0,,,,2.0,3.0,single_family,27616,North Carolina,-78.515718,35.874183,Raleigh,NC,4229 Mangrove Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4229%20Mangrove%20Dr%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=jYiiFHCgynyFsP5yGOehIt_7KIY=,37183,Wake,"[{'listing_id': '2942061669', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2652647903', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '512461874', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '503330406', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/f9386f1ff3b4fcbd5ec041eb9771ab49l-m1220791856s-w1024_h768.jpg,,,,,,
9,,2022-04-13T17:19:50Z,"['central_air', 'community_outdoor_space', 'fireplace', 'forced_air', 'hardwood_floors', 'two_or_more_stories', 'garage_1_or_more', 'high_ceiling', 'cathedral_ceiling']",3408-Ribcowski-Ct_Raleigh_NC_27616_M50525-49264,for_sale,2022-04-13T18:02:22Z,,"[{'name': 'Compass North Carolina, LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/e4152ad36c4b85a5f9a2e949a61a23bcl-m3058175662s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/e4152ad36c4b85a5f9a2e949a61a23bcl-m2415678394s-w1024_h768.jpg'}]",,375000,True,5052549264,,,2942061019,,[{'office_name': None}],TANC,,,mls,3AD8EAE1904E2F1A0AA72BA47E508FB6,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1995.0,,2010-06-25,168000.0,2.0,,1.0,16117.0,1776.0,3.0,,,1.0,2.0,3.0,single_family,27616,North Carolina,-78.518411,35.87663,Raleigh,NC,3408 Ribcowski Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3408%20Ribcowski%20Ct%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=RfcICQwgvvLTbHjs1nvzG805A5A=,37183,Wake,"[{'listing_id': '2942061019', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '520421250', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/e4152ad36c4b85a5f9a2e949a61a23bcl-m3058175662s-w1024_h768.jpg,,,,,,
