,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage,listingSubType.is_FSBA,listingSubType.is_openHouse,listingSubType.is_comingSoon,listingSubType.is_newHome
0,,SINGLE_FAMILY,0.28,"7912 Flanagan Pl, Raleigh, NC 27612",-1,389000,,-78.72406,35.86662,,FOR_SALE,53455833,https://photos.zillowstatic.com/fp/8f121315a1ac62204d52c3f4bfbf2f58-p_e.jpg,1389,3,acres,USA,USD,3,True,True,,,
1,,SINGLE_FAMILY,6969.6,"9208 Shallcross Way, Raleigh, NC 27617",-1,384500,,-78.73121,35.90533,,FOR_SALE,50117060,https://photos.zillowstatic.com/fp/2dfb7fe5dc907d67f4d513a1bb260d3b-p_e.jpg,1443,3,sqft,USA,USD,3,True,True,,,
2,,SINGLE_FAMILY,0.46,"3101 Sherry Dr, Raleigh, NC 27604",-1,389000,,-78.585014,35.820602,,FOR_SALE,6377140,https://photos.zillowstatic.com/fp/ce6420acbfd65b9e21f61b1c88b0386f-p_e.jpg,1983,3,acres,USA,USD,4,True,True,True,,
3,,SINGLE_FAMILY,0.6,"1509 Yakimas Rd, Raleigh, NC 27603",-1,399900,,-78.65298,35.608692,,FOR_SALE,215490802,https://photos.zillowstatic.com/fp/f0a2f1a719a62a043babee33f78b5042-p_e.jpg,2221,3,acres,USA,USD,3,True,True,,,
4,,SINGLE_FAMILY,0.46,"5612 Cardinal Landing Dr, Raleigh, NC 27603",-1,398500,,-78.655945,35.62761,,FOR_SALE,50118263,https://photos.zillowstatic.com/fp/f44e77027df06c7b9b740b0b6fff3903-p_e.jpg,2121,3,acres,USA,USD,3,True,True,,,
5,,SINGLE_FAMILY,0.3,"2812 Beehnon Way, Raleigh, NC 27603",-1,389000,,-78.66926,35.74481,,FOR_SALE,6555060,https://photos.zillowstatic.com/fp/29679fdee8a4eb3c1bc70f1ac6d368af-p_e.jpg,1689,3,acres,USA,USD,3,True,True,,,
6,,SINGLE_FAMILY,0.69,"6116 Jordan Woods Dr, Raleigh, NC 27603",-1,387500,,-78.62402,35.606316,,FOR_SALE,6509935,https://photos.zillowstatic.com/fp/ba28278afc4a3a693015c0b7a1c4b34f-p_e.jpg,1900,3,acres,USA,USD,3,True,,,True,
7,,SINGLE_FAMILY,9583.2,"4401 Major Loring Way, Raleigh, NC 27616",-1,399900,,-78.56102,35.836075,,FOR_SALE,6551574,https://photos.zillowstatic.com/fp/270505984cdc0a432075ad636ec9ac00-p_e.jpg,1954,3,sqft,USA,USD,4,True,True,,,
8,,SINGLE_FAMILY,6098.4,"5625 Apalachicula Dr, Raleigh, NC 27616",-1,385000,,-78.54643,35.888264,,FOR_SALE,60538288,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=35.88826370239258,-78.54643249511719&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=FaV4i9tf50AnHnOfBWklDgJOd-k=",1951,3,sqft,USA,USD,3,,,,True,
9,,SINGLE_FAMILY,0.73,"1221 Jogging Ct, Raleigh, NC 27603",-1,400000,,-78.624,35.613403,,FOR_SALE,65331919,https://photos.zillowstatic.com/fp/54198abea8fc131edc41724f8689bf17-p_e.jpg,2189,2,acres,USA,USD,3,True,True,,,
