,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,primary_photo.href,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,tax_record,other_listings,community.advertisers,community.property_id,community.description.name,primary_photo
0,2022-04-15T15:18:41Z,"['fireplace', 'hardwood_floors', 'two_or_more_stories', 'garage_1_or_more']",5005-Devonwood-Ct_Raleigh_NC_27609_M57565-93898,for_sale,2022-04-15T15:20:42Z,,"[{'name': 'Southern Realty Group', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/155954d1e19aa760f8cf1428f209878al-m3464700878s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/155954d1e19aa760f8cf1428f209878al-m3652161744s-w1024_h768.jpg'}]",,675000,False,5756593898,,,2942135389,,https://ap.rdcpix.com/155954d1e19aa760f8cf1428f209878al-m3464700878s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,AA9531AFC3284E5D51214BC50E91D1BE,,,,,,,True,,,True,False,False,co_broke,"['core.broker', 'co_broke']",essentials,1969.0,,2021-12-22,397000.0,2,,1.0,13939.0,2010,3.0,,,1.0,2.0,4,single_family,27609,North Carolina,-78.622676,35.849313,Raleigh,NC,5005 Devonwood Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5005%20Devonwood%20Ct%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=jsQiXViTfvG3Lp9tQ8qDdvYkNyQ=,37183,Wake,"[{'listing_id': '2942135389', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2937223191', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,
1,2022-04-14T19:37:45Z,"['central_air', 'community_elevator', 'community_outdoor_space', 'den_or_office', 'disability_features', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'spa_or_hot_tub', 'two_or_more_stories', 'gourmet_kitchen', 'elevator']",1007-Nichols-Dr-3-6_Raleigh_NC_27605_M92993-64961,for_sale,2022-04-14T19:42:18Z,,"[{'name': 'Howard Perry and Walston', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/8063eb84b143eae751d4b5f0d3d7e5b0l-m2008172092s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/8063eb84b143eae751d4b5f0d3d7e5b0l-m2302859280s-w1024_h768.jpg'}]",,699900,False,9299364961,,,2942104402,,https://ap.rdcpix.com/8063eb84b143eae751d4b5f0d3d7e5b0l-m2008172092s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1949.0,,,,3,,1.0,,4532,4.0,condo,,,2.0,4,condos,27605,North Carolina,-78.654243,35.79292,Raleigh,NC,1007 Nichols Dr Unit 3-6,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1007%20Nichols%20Dr%20Unit%203-6%2C%20Raleigh%2C%20NC%2027605&size=640x480&source=outdoor&signature=A1xjPcyrl3ijZx4x_2qFsQIcswo=,37183,Wake,"[{'listing_id': '2942104402', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2929721653', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,
2,2022-04-14T19:20:24Z,"['central_air', 'community_clubhouse', 'community_outdoor_space', 'cul_de_sac', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'new_construction', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'high_ceiling', 'floor_plan', 'farm', 'ranch', 'smart_homes']",4939-Chase-Hill-Way_Raleigh_NC_27603_M93961-50577,for_sale,2022-04-14T18:38:11Z,,"[{'name': 'D.R. Horton, Inc.', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/ad57e8acad7fd37c369f5947f38c9667l-m3965865020s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/ad57e8acad7fd37c369f5947f38c9667l-m1425490977s-w1024_h768.jpg'}]",,651080,False,9396150577,,,2942101406,,https://ap.rdcpix.com/ad57e8acad7fd37c369f5947f38c9667l-m3965865020s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2022.0,,,,3,,1.0,8146.0,2952,4.0,,,2.0,2.0,4,single_family,27603,North Carolina,-78.721088,35.893132,Raleigh,NC,4939 Chase Hill Way,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4939%20Chase%20Hill%20Way%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=62vohFlzIc2ZnU_1ufl5dHqbF0U=,37183,Wake,"[{'listing_id': '2942101406', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,
3,2022-04-14T15:12:08Z,"['central_air', 'community_golf', 'family_room', 'fireplace', 'forced_air', 'golf_course_lot_or_frontage', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'wooded_land', 'big_lot', 'golf_course', 'shopping', 'fixer_upper']",7817-Hardwick-Dr_Raleigh_NC_27615_M56917-02519,for_sale,2022-04-14T15:19:02Z,,"[{'name': 'FATHOM REALTY', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/5bdfd8948b4a6276dbce145aeb027d76l-m3204625950s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/5bdfd8948b4a6276dbce145aeb027d76l-m4180044563s-w1024_h768.jpg'}]",,695000,False,5691702519,,,2942092511,,https://ap.rdcpix.com/5bdfd8948b4a6276dbce145aeb027d76l-m3204625950s-w1024_h768.jpg,"[{'office_name': 'Fathom Realty NC, LLC'}]",TANC,,,mls,D146EE329B49E74740615423C2C2D6D0,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1979.0,,1987-07-10,170000.0,2,,1.0,26572.0,2478,3.0,,,2.0,2.0,4,single_family,27615,North Carolina,-78.612121,35.887262,Raleigh,NC,7817 Hardwick Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7817%20Hardwick%20Dr%2C%20Raleigh%2C%20NC%2027615&size=640x480&source=outdoor&signature=ldygKkNe-B8tmFAscaEdA6NhUuA=,37183,Wake,"[{'listing_id': '2942092511', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,
4,2022-04-14T12:39:11Z,"['central_air', 'community_outdoor_space', 'corner_lot', 'den_or_office', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'basement', 'two_or_more_stories', 'high_ceiling', 'new_roof']",402-Cole-St_Raleigh_NC_27605_M65923-42668,for_sale,2022-04-14T12:38:22Z,,"[{'name': 'Redfin Corporation', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/02ed50b3a58357c2aef716a1f5ac6655l-m3627950300s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/02ed50b3a58357c2aef716a1f5ac6655l-m3454122425s-w1024_h768.jpg'}]",,699900,False,6592342668,,,2942087168,,https://ap.rdcpix.com/02ed50b3a58357c2aef716a1f5ac6655l-m3627950300s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,E95EDF0B9FDF5D129CD873BCBD8A3523,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1926.0,,2022-01-06,655000.0,2,,,9583.0,1881,2.0,,,,3.0,2,single_family,27605,North Carolina,-78.644027,35.79713,Raleigh,NC,402 Cole St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=402%20Cole%20St%2C%20Raleigh%2C%20NC%2027605&size=640x480&source=outdoor&signature=wfYDp4srZhOjfyl_qyOdWw7hBh4=,37183,Wake,"[{'listing_id': '2942087168', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2935528766', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,
5,2022-04-05,"['clubhouse', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",Dawn_Belmont_4501-Brintons-Cottage-Street_Raleigh_NC_27616_P417000634185,ready_to_build,2022-04-13T16:12:18.000Z,,"[{'name': 'Drees Homes', 'photo': 'https://nh.rdcpix.com/4990551b659f47a9cd03fe56fc6c05acn-f2875675847s.jpg', 'type': 'Builder'}]","[{'href': 'https://nh.rdcpix.com/b38046c9c7b0827ab3617b68b7c8293ee-f1986517440s-w1024_h768.jpg'}, {'href': 'https://nh.rdcpix.com/b38046c9c7b0827ab3617b68b7c8293ee-f519698943s-w1024_h768.jpg'}]",,622400,False,417000634185,,,,,https://nh.rdcpix.com/b38046c9c7b0827ab3617b68b7c8293ee-f1986517440s-w1024_h768.jpg,,DCHB,,,new_home,,True,,True,,,,True,,,True,False,False,new_homes_plan,"['new_homes_cost_per_lead_hybrid.builder', 'co_broke']",basic_opt_in,,,,,3,Dawn,,,2421,,,,2.0,2.0,4,single_family,27616,North Carolina,-78.552449,35.839352,Raleigh,NC,4501 Brintons Cottage Street,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4501%20Brintons%20Cottage%20Street%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=v3Fg7PRQb-dq6kJn6sfjVuZnSkU=,37183,Wake,,,,"[{'office': {'hours': 'By Appointment Only', 'phones': [{'number': '(919) 629-1898', 'type': 'Office'}, {'number': '8663326688', 'type': 'toll_free'}]}, 'builder': {'fulfillment_id': '4757841'}}]",717000065395,Belmont,
6,2022-04-08,"['clubhouse', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",Haven_Belmont_4501-Brintons-Cottage-Street_Raleigh_NC_27616_P417000634187,ready_to_build,2022-04-13T16:12:18.000Z,,"[{'name': 'Drees Homes', 'photo': 'https://nh.rdcpix.com/4990551b659f47a9cd03fe56fc6c05acn-f2875675847s.jpg', 'type': 'Builder'}]","[{'href': 'https://nh.rdcpix.com/e4851a3ab693d43e745a83c246f707fde-f3162562017s-w1024_h768.jpg'}, {'href': 'https://nh.rdcpix.com/e4851a3ab693d43e745a83c246f707fde-f1403501221s-w1024_h768.jpg'}]",,620800,False,417000634187,,,,,https://nh.rdcpix.com/e4851a3ab693d43e745a83c246f707fde-f3162562017s-w1024_h768.jpg,,DCHB,,,new_home,,True,,True,,,,True,,,True,False,False,new_homes_plan,"['new_homes_cost_per_lead_hybrid.builder', 'co_broke']",basic_opt_in,,,,,3,Haven,,,2376,,,,2.0,2.0,4,single_family,27616,North Carolina,-78.552449,35.839352,Raleigh,NC,4501 Brintons Cottage Street,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4501%20Brintons%20Cottage%20Street%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=v3Fg7PRQb-dq6kJn6sfjVuZnSkU=,37183,Wake,,,,"[{'office': {'hours': 'By Appointment Only', 'phones': [{'number': '(919) 629-1898', 'type': 'Office'}, {'number': '8663326688', 'type': 'toll_free'}]}, 'builder': {'fulfillment_id': '4757841'}}]",717000065395,Belmont,
7,2022-04-14,"['clubhouse', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",Epiphany_Belmont_4501-Brintons-Cottage-Street_Raleigh_NC_27616_P417000634186,ready_to_build,2022-04-13T16:12:18.000Z,,"[{'name': 'Drees Homes', 'photo': 'https://nh.rdcpix.com/4990551b659f47a9cd03fe56fc6c05acn-f2875675847s.jpg', 'type': 'Builder'}]","[{'href': 'https://nh.rdcpix.com/95179ac714d54c831494b790d07da9b3e-f26503566s-w1024_h768.jpg'}, {'href': 'https://nh.rdcpix.com/95179ac714d54c831494b790d07da9b3e-f2650333688s-w1024_h768.jpg'}]",,623100,False,417000634186,,,,,https://nh.rdcpix.com/95179ac714d54c831494b790d07da9b3e-f26503566s-w1024_h768.jpg,,DCHB,,,new_home,,True,,True,,,,True,,,True,False,False,new_homes_plan,"['new_homes_cost_per_lead_hybrid.builder', 'co_broke']",basic_opt_in,,,,,3,Epiphany,,,2524,,,,2.0,2.0,5,single_family,27616,North Carolina,-78.552449,35.839352,Raleigh,NC,4501 Brintons Cottage Street,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4501%20Brintons%20Cottage%20Street%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=v3Fg7PRQb-dq6kJn6sfjVuZnSkU=,37183,Wake,,,,"[{'office': {'hours': 'By Appointment Only', 'phones': [{'number': '(919) 629-1898', 'type': 'Office'}, {'number': '8663326688', 'type': 'toll_free'}]}, 'builder': {'fulfillment_id': '4757841'}}]",717000065395,Belmont,
8,2022-04-14T17:36:57Z,"['central_air', 'community_outdoor_space', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'single_story', 'fenced_yard', 'open_floor_plan', 'floor_plan', 'front_porch']",719-N-Boylan-Ave_Raleigh_NC_27605_M58074-13271,for_sale,2022-04-12T02:07:31Z,,"[{'name': 'EXP Realty LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/de594d07c5df0a912b4aefe19a8d1dd9l-m3453449578s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/de594d07c5df0a912b4aefe19a8d1dd9l-m2271438752s-w1024_h768.jpg'}]",,690000,False,5807413271,,,2942013494,,https://ap.rdcpix.com/de594d07c5df0a912b4aefe19a8d1dd9l-m3453449578s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,735BC88AD839F45192F32300BA4F0AFB,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1915.0,,2018-04-17,500000.0,2,,1.0,5227.0,1237,3.0,,,,1.0,2,single_family,27605,North Carolina,-78.648974,35.78961,Raleigh,NC,719 N Boylan Ave,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=719%20N%20Boylan%20Ave%2C%20Raleigh%2C%20NC%2027605&size=640x480&source=outdoor&signature=SWChMDLnT2dr5_GvvJZLSOqqaks=,37183,Wake,"[{'listing_id': '2942013494', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '639196422', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '614231018', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,
9,2022-04-05,"['clubhouse', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'open_floor_plan', 'floor_plan']",Vanderburgh_Belmont_4501-Brintons-Cottage-Street_Raleigh_NC_27616_P417000656594,ready_to_build,2022-04-11T15:20:27.000Z,,"[{'name': 'Drees Homes', 'photo': 'https://nh.rdcpix.com/4990551b659f47a9cd03fe56fc6c05acn-f2875675847s.jpg', 'type': 'Builder'}]","[{'href': 'https://nh.rdcpix.com/c7c267d311c91e54fe4e7cfc91841c1ae-f686201087s-w1024_h768.jpg'}, {'href': 'https://nh.rdcpix.com/c7c267d311c91e54fe4e7cfc91841c1ae-f2127659650s-w1024_h768.jpg'}]",,689000,True,417000656594,,,,,https://nh.rdcpix.com/c7c267d311c91e54fe4e7cfc91841c1ae-f686201087s-w1024_h768.jpg,,DCHB,,,new_home,,True,,True,,,,True,,,True,False,False,new_homes_plan,"['new_homes_cost_per_lead_hybrid.builder', 'co_broke']",basic_opt_in,,,,,3,Vanderburgh,,,3558,,,,3.0,2.0,5,single_family,27616,North Carolina,-78.552449,35.839352,Raleigh,NC,4501 Brintons Cottage Street,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4501%20Brintons%20Cottage%20Street%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=v3Fg7PRQb-dq6kJn6sfjVuZnSkU=,37183,Wake,,,,"[{'office': {'hours': 'By Appointment Only', 'phones': [{'number': '(919) 629-1898', 'type': 'Office'}, {'number': '8663326688', 'type': 'toll_free'}]}, 'builder': {'fulfillment_id': '4757841'}}]",717000065395,Belmont,
