,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,primary_photo.href,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,tax_record,primary_photo
0,2022-05-07T02:11:23Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'fireplace', 'forced_air', 'laundry_room', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",3513-Brook-Dr_Raleigh_NC_27609_M69563-69173,for_sale,2022-05-07T02:14:43Z,,"[{'name': 'Berkshire Hathaway Homeservices Ysu', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/72db2e71063b639cc3d38f40a31b82e0l-m2204740674s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/72db2e71063b639cc3d38f40a31b82e0l-m1313049813s-w1024_h768.jpg'}]",,1199900,False,6956369173,,,2942843320,,https://ap.rdcpix.com/72db2e71063b639cc3d38f40a31b82e0l-m2204740674s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,047DF002B0CD9461B1ED174B0AFE32CE,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1958.0,,2021-02-04,520000.0,3.0,,1.0,14810.0,2720.0,4.0,,,2.0,2.0,3.0,single_family,27609,North Carolina,-78.640773,35.828625,Raleigh,NC,3513 Brook Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3513%20Brook%20Dr%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=DIdX7_shWORyb0KFMDWJMb9x_Js=,37183,Wake,"[{'listing_id': '2942843320', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2927885143', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2924249621', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
1,2022-05-06T20:25:13Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'disability_features', 'energy_efficient', 'family_room', 'fireplace', 'game_room', 'hardwood_floors', 'laundry_room', 'new_construction', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more']",1512-Rock-Dove-Way_Raleigh_NC_27614_M99300-37012,for_sale,2022-05-06T19:23:14Z,,"[{'name': 'Howard Perry and Walston', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/8d8396f50fbbbacb19c02f70e1d7014al-m2008207549s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/8d8396f50fbbbacb19c02f70e1d7014al-m3393418139s-w1024_h768.jpg'}]",,1595000,False,9930037012,,,2942827521,,https://ap.rdcpix.com/8d8396f50fbbbacb19c02f70e1d7014al-m2008207549s-w1024_h768.jpg,[{'office_name': 'Howard Perry & Walston Realtor'}],TANC,,,mls,F9DD3A04284F46AFDA694494ED448AA1,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2022.0,,,,4.0,,1.0,49658.0,4629.0,5.0,,,3.0,2.0,4.0,single_family,27614,North Carolina,-78.664721,35.980514,Raleigh,NC,1512 Rock Dove Way,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1512%20Rock%20Dove%20Way%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=MqX_UY3t8gk22qp7l_HdgfFD82M=,37183,Wake,"[{'listing_id': '2942827521', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,
2,2022-05-05T04:43:27Z,"['central_air', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'family_room', 'fireplace', 'game_room', 'hardwood_floors', 'laundry_room', 'new_construction', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'gourmet_kitchen', 'open_floor_plan', 'floor_plan']",629-Duke-Dr_Raleigh_NC_27609_M66862-38322,for_sale,2022-05-05T04:45:18Z,"[{'start_date': '2022-05-07T10:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T12:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Fonville Morisey/Stonehenge Sales Office', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/7ba4832a00a8cefe1deef2fd934f3990l-m2402931415s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/7ba4832a00a8cefe1deef2fd934f3990l-m3804387129s-w1024_h768.jpg'}]",,1350000,False,6686238322,,,2942753857,,https://ap.rdcpix.com/7ba4832a00a8cefe1deef2fd934f3990l-m2402931415s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,8E23AA4BF60ABCF4B19AB0EBE7CA6099,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2022.0,,2021-01-11,290000.0,3.0,,1.0,11326.0,3492.0,4.0,,,2.0,2.0,4.0,single_family,27609,North Carolina,-78.627125,35.850883,Raleigh,NC,629 Duke Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=629%20Duke%20Dr%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=JdlYZk_BUYfKK0EGruxVqlc5EYg=,37183,Wake,"[{'listing_id': '2942753857', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2922267791', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '626064218', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '572358678', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
3,2022-05-04T18:26:46Z,"['central_air', 'den_or_office', 'fireplace', 'forced_air', 'hardwood_floors', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",3311-Lake-Boone-Trl_Raleigh_NC_27607_M56814-46404,for_sale,2022-05-04T18:28:22Z,,"[{'name': 'Raleigh Custom Realty, LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/635a39c449fd8dba80f13ea73056ca4bl-m1696392650s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/635a39c449fd8dba80f13ea73056ca4bl-m1073989538s-w1024_h768.jpg'}]",,1799900,False,5681446404,,,2942731872,,https://ap.rdcpix.com/635a39c449fd8dba80f13ea73056ca4bl-m1696392650s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,DC9B071E449B9F966A125295B1B96FD8,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2017.0,,,,5.0,,1.0,10890.0,4504.0,6.0,,,2.0,2.0,6.0,single_family,27607,North Carolina,-78.683729,35.815889,Raleigh,NC,3311 Lake Boone Trl,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3311%20Lake%20Boone%20Trl%2C%20Raleigh%2C%20NC%2027607&size=640x480&source=outdoor&signature=82_s7dXsvBwAf9a8En8-d-Mi_14=,37183,Wake,"[{'listing_id': '2942731872', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '639170142', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2435866506', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
4,2022-05-02T13:33:26Z,"['community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",1928-Ridge-Rd_Raleigh_NC_27607_M67997-53532,for_sale,2022-05-02T13:38:28Z,,"[{'name': 'One Choice Realty, LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/e85a3fba8c2f53967f40b2ed5265ffadl-m2170417472s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/e85a3fba8c2f53967f40b2ed5265ffadl-m2170417472s-w1024_h768.jpg'}]",,1550000,False,6799753532,,,2942646567,,https://ap.rdcpix.com/e85a3fba8c2f53967f40b2ed5265ffadl-m2170417472s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,7E3E46A9587B1F90200E2115685FD405,,,,,,,True,,,True,False,False,co_broke,"['core.broker', 'co_broke']",essentials,2015.0,,2021-04-19,1150000.0,3.0,,1.0,13504.0,3959.0,4.0,,,2.0,2.0,4.0,single_family,27607,North Carolina,-78.680457,35.816994,Raleigh,NC,1928 Ridge Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1928%20Ridge%20Rd%2C%20Raleigh%2C%20NC%2027607&size=640x480&source=outdoor&signature=v07ojgbwSy9SJorCkoYf4jzckM0=,37183,Wake,"[{'listing_id': '2942646567', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2925962823', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '595482678', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
5,2022-05-07T03:26:57Z,"['fireplace', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",3418-Edgemont-Dr_Raleigh_NC_27612_M91287-94404,for_sale,2022-04-28T19:48:56Z,"[{'start_date': '2022-05-08T13:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-08T17:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Raleigh Custom Realty, LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/7003129b5d34a86b2e646e75596a2d81l-m2477675361s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/7003129b5d34a86b2e646e75596a2d81l-m2848534133s-w1024_h768.jpg'}]",,1599900,False,9128794404,,,2942536441,50000.0,https://ap.rdcpix.com/7003129b5d34a86b2e646e75596a2d81l-m2477675361s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,D85E15312ABCD94460CA8243188B8900,,,,True,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2021.0,,,,4.0,,1.0,10454.0,3887.0,5.0,,,2.0,2.0,4.0,single_family,27612,North Carolina,-78.699565,35.827449,Raleigh,NC,3418 Edgemont Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3418%20Edgemont%20Dr%2C%20Raleigh%2C%20NC%2027612&size=640x480&source=outdoor&signature=ZtFozyLCWGSq14HYCLbQmfBsUas=,37183,Wake,"[{'listing_id': '2942536441', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2938779484', 'listing_key': None, 'status': 'for_rent', 'primary': True}, {'listing_id': '2929829472', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
6,2022-04-28T12:32:46Z,"['central_air', 'community_outdoor_space', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'game_room', 'hardwood_floors', 'laundry_room', 'new_construction', 'swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",3132-Ashel-St_Raleigh_NC_27612_M51015-18639,for_sale,2022-04-28T12:34:49Z,,"[{'name': ""Hodge & Kittrell Sotheby's International Realty"", 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/e67bd493f70b61fd6b697f6d4a2724b8l-m1868374826s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/e67bd493f70b61fd6b697f6d4a2724b8l-m3320873327s-w1024_h768.jpg'}]",,2695000,False,5101518639,,,2942515676,,https://ap.rdcpix.com/e67bd493f70b61fd6b697f6d4a2724b8l-m1868374826s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,05D60193AB0909EF337FD16385492264,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2022.0,,2021-01-08,650000.0,5.0,,1.0,23087.0,5300.0,6.0,,,2.0,2.0,5.0,single_family,27612,North Carolina,-78.668331,35.825806,Raleigh,NC,3132 Ashel St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3132%20Ashel%20St%2C%20Raleigh%2C%20NC%2027612&size=640x480&source=outdoor&signature=UB5pzGTReEiD9OE-CeW_BCm9Wg4=,37183,Wake,"[{'listing_id': '2942515676', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,
7,2022-04-27T21:51:35Z,"['central_air', 'community_golf', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'game_room', 'golf_course_lot_or_frontage', 'golf_course_view', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'gourmet_kitchen', 'media_room', 'golf_course']",2308-Wakefield-Plantation-Dr_Raleigh_NC_27614_M65045-95192,for_sale,2022-04-27T21:53:55Z,,"[{'name': 'Mark Spain Real Estate', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/d16cdc93f517d577f16fc187ba9630fal-m845184379s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/d16cdc93f517d577f16fc187ba9630fal-m978314387s-w1024_h768.jpg'}]",,1300000,False,6504595192,,,2942492377,,https://ap.rdcpix.com/d16cdc93f517d577f16fc187ba9630fal-m845184379s-w1024_h768.jpg,[{'office_name': 'Mark Spain Real Estate'}],TANC,,,mls,A2A2C6CB79087964E44A1EA726CFF4CF,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1998.0,,2007-06-26,887500.0,5.0,,1.0,24829.0,6616.0,6.0,,,3.0,2.0,6.0,single_family,27614,North Carolina,-78.565472,35.952342,Raleigh,NC,2308 Wakefield Plantation Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2308%20Wakefield%20Plantation%20Dr%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=igb6NWFIopk9JbatLOEE3sWgWjI=,37183,Wake,"[{'listing_id': '2942492377', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '589283158', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
8,2022-04-28T18:38:35Z,"['central_air', 'fireplace', 'forced_air', 'hardwood_floors', 'new_construction', 'two_or_more_stories', 'garage_1_or_more']",1818-Wilshire-Ave_Raleigh_NC_27608_M57607-67683,for_sale,2022-04-27T17:31:53Z,,"[{'name': ""Hodge & Kittrell Sotheby's International Realty"", 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/c18ceb106a66f89b70c7d474950b64f4l-m309027104s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/c18ceb106a66f89b70c7d474950b64f4l-m811592919s-w1024_h768.jpg'}]",,2150000,False,5760767683,,,2942480986,,https://ap.rdcpix.com/c18ceb106a66f89b70c7d474950b64f4l-m309027104s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,BCC8C04AB73344495C2F54AC81316B5C,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2022.0,,2021-07-02,535000.0,4.0,,1.0,9583.0,4945.0,5.0,,,1.0,3.0,4.0,single_family,27608,North Carolina,-78.656785,35.802171,Raleigh,NC,1818 Wilshire Ave,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1818%20Wilshire%20Ave%2C%20Raleigh%2C%20NC%2027608&size=640x480&source=outdoor&signature=ogQHyiAqKQ0pFvHSxtyW8UZ9GI4=,37183,Wake,"[{'listing_id': '2942480986', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2936119091', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2930256295', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '627302278', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '596685930', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
9,2022-05-04T20:37:19Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more']",5111-Pine-Birch-Dr_Raleigh_NC_27606_M55516-72668,for_sale,2022-04-27T15:46:32Z,,"[{'name': 'Re/Max Advantage', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/77d57e88b324983e67d05686743800b9l-m2516156142s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/77d57e88b324983e67d05686743800b9l-m717591427s-w1024_h768.jpg'}]",,1299997,False,5551672668,,,2942476570,,https://ap.rdcpix.com/77d57e88b324983e67d05686743800b9l-m2516156142s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,39B9AA37E1B660A507BE9609BA242409,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2003.0,,,,6.0,,,139392.0,7151.0,6.0,,,3.0,2.0,4.0,single_family,27606,North Carolina,-78.706207,35.701092,Raleigh,NC,5111 Pine Birch Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5111%20Pine%20Birch%20Dr%2C%20Raleigh%2C%20NC%2027606&size=640x480&source=outdoor&signature=TDSXe16d7xn4zIKoGNSsBsx08Bw=,37183,Wake,"[{'listing_id': '2942476570', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,
10,2022-04-30T19:06:13Z,"['central_air', 'community_golf', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'golf_course_lot_or_frontage', 'golf_course_view', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more']",9438-Collingdale-Way_Raleigh_NC_27617_M61946-16716,for_sale,2022-04-27T11:21:48Z,,"[{'name': 'Keller Williams Preferred Realty - Brier Creek', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/a34a7ab8e7c800914e449bef4469e01el-m2161647251s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/a34a7ab8e7c800914e449bef4469e01el-m271743237s-w1024_h768.jpg'}]",,1250000,False,6194616716,,,2942470027,,https://ap.rdcpix.com/a34a7ab8e7c800914e449bef4469e01el-m2161647251s-w1024_h768.jpg,[{'office_name': 'Keller Williams Preferred Realty'}],TANC,,,mls,DA89A5DD69201302185A39DF65197E62,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2007.0,,2007-10-26,834000.0,5.0,,1.0,15682.0,6990.0,6.0,,,3.0,3.0,6.0,single_family,27617,North Carolina,-78.807981,35.907873,Raleigh,NC,9438 Collingdale Way,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=9438%20Collingdale%20Way%2C%20Raleigh%2C%20NC%2027617&size=640x480&source=outdoor&signature=RvgfauI5dCyQsHudT3_Resy0MrM=,37183,Wake,"[{'listing_id': '2942470027', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '615637970', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
11,2022-04-23T02:55:37Z,"['hardwood_floors', 'single_story', 'garage_1_or_more', 'garage_2_or_more']",11601-Durant-Rd_Raleigh_NC_27614_M60871-29693,for_sale,2022-04-23T02:52:50Z,,"[{'name': 'Society Real Estate, Llc', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/6255123a77c027ab5fadb5ffafb2ab4el-m4038219186s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/6255123a77c027ab5fadb5ffafb2ab4el-m3582782545s-w1024_h768.jpg'}]",,1500000,False,6087129693,,,2942378918,,https://ap.rdcpix.com/6255123a77c027ab5fadb5ffafb2ab4el-m4038219186s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,C3BEE71BF42CEDCDC9122F050EC64C1C,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1974.0,,2005-11-08,190000.0,3.0,,,313632.0,2719.0,3.0,,,2.0,1.0,5.0,single_family,27614,North Carolina,-78.606935,35.909386,Raleigh,NC,11601 Durant Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=11601%20Durant%20Rd%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=b2LqXIvrxQMD94cjovlnLgdF_ac=,37183,Wake,"[{'listing_id': '2942378918', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2942378444', 'listing_key': None, 'status': 'for_sale', 'primary': None}]",,
