,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,primary_photo.href,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,tax_record,community.advertisers,community.property_id,community.description.name,location.address.coordinate,primary_photo,other_listings
0,2022-05-06T16:29:19Z,"['carport', 'central_air', 'community_outdoor_space', 'family_room', 'laundry_room', 'basement', 'single_story']",2409-Parkway-Dr_Raleigh_NC_27603_M63721-76887,for_sale,2022-05-06T16:31:05Z,,"[{'name': 'Pinnacle Group Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/f7dde4d625bf777315d344502c5ad3d5l-m1873572066s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/f7dde4d625bf777315d344502c5ad3d5l-m1518934350s-w1024_h768.jpg'}]",,400000,False,6372176887,,,2942818148,,https://ap.rdcpix.com/f7dde4d625bf777315d344502c5ad3d5l-m1873572066s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,9D056AFE50AF435327FB55729AFC57A7,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1976.0,,1990-04-12,76000.0,2.0,,,35719.0,1620.0,2.0,,,,1.0,3.0,single_family,27603,North Carolina,-78.679405,35.678388,Raleigh,NC,2409 Parkway Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2409%20Parkway%20Dr%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=WhpGjCOQXe4jNeiT72er89MHzEM=,37183,Wake,"[{'listing_id': '2942818148', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2942797567', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
1,2022-05-06T16:09:06Z,"['central_air', 'community_security_features', 'den_or_office', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'garage_1_or_more']",400-W-North-St-Apt-1008_Raleigh_NC_27603_M57330-57015,for_sale,2022-05-06T16:18:31Z,,"[{'name': 'Wieland Properties, Inc.', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/a3ca101aa2f4116b193561596be9009bl-m272069073s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/a3ca101aa2f4116b193561596be9009bl-m3233826956s-w1024_h768.jpg'}]",,362500,False,5733057015,,,2942768699,,https://ap.rdcpix.com/a3ca101aa2f4116b193561596be9009bl-m272069073s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,B8A443E5B2BE48A551B4E43BD9262879,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2008.0,,2011-04-12,205000.0,1.0,,,,956.0,1.0,condo,,,1.0,1.0,condos,27603,North Carolina,-78.645217,35.785203,Raleigh,NC,400 W North St Apt 1008,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=400%20W%20North%20St%20Apt%201008%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=LC7HDl8N04FEH6jbNQp8a95DjUA=,37183,Wake,"[{'listing_id': '2942768699', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2942768252', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '511125550', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
2,2022-05-06T22:18:18Z,"['central_air', 'community_outdoor_space', 'cul_de_sac', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",5709-Running-Fox-Ln_Durham_NC_27703_M61685-23555,for_sale,2022-05-06T16:18:31Z,"[{'start_date': '2022-05-07T12:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T14:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'eXp Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/1298bc647e3f4089c4683932ff8fc005l-m2045506601s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/1298bc647e3f4089c4683932ff8fc005l-m2209935952s-w1024_h768.jpg'}]",,400000,False,6168523555,,,2942817489,,https://ap.rdcpix.com/1298bc647e3f4089c4683932ff8fc005l-m2045506601s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,201AB87EF9B695A8C9D9D2214362EF73,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2005.0,,2005-11-30,178500.0,2.0,,1.0,6795.0,1813.0,3.0,,,2.0,2.0,3.0,single_family,27703,North Carolina,-78.755001,35.932053,Durham,NC,5709 Running Fox Ln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5709%20Running%20Fox%20Ln%2C%20Durham%2C%20NC%2027703&size=640x480&source=outdoor&signature=YZjAG5I0kZR2QIhH7579Jt7QVlw=,37063,Durham,"[{'listing_id': '2942817489', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '568347782', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
3,2022-05-06T16:23:42Z,"['central_air', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more']",1311-Still-Monument-Way_Raleigh_NC_27603_M62768-00896,for_sale,2022-05-06T16:00:50Z,,"[{'name': 'Allen Tate Realtors-Raleigh-Falls of Neuse', 'photo': 'https://ap.rdcpix.com/569826821/06fa19acf2f47170ca75a347468039abg-c0s.jpg', 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/36ae900844b92d3b00028918fd47b846l-m3918277935s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/36ae900844b92d3b00028918fd47b846l-m1548116300s-w1024_h768.jpg'}]",,400000,False,6276800896,,,2942816511,,https://ap.rdcpix.com/36ae900844b92d3b00028918fd47b846l-m3918277935s-w1024_h768.jpg,[{'office_name': 'Allen Tate/Raleigh-Falls Neuse'}],TANC,,,mls,707683476BB9AC3573360791DF0F58FB,,,,,,,True,,,True,False,False,advantage_pro,"['core.agent', 'core.broker', 'listing_owner_lead.broker', 'listing_owner_brand.broker']",advantage_pro,2013.0,,2013-10-24,209500.0,2.0,,1.0,2178.0,1948.0,3.0,townhouse,,1.0,2.0,3.0,townhomes,27603,North Carolina,-78.655915,35.736503,Raleigh,NC,1311 Still Monument Way,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1311%20Still%20Monument%20Way%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=8ncW93Hkau9VUvNIxRo821NgQc4=,37183,Wake,"[{'listing_id': '2942816511', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2942813446', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
4,2022-05-07T01:39:09Z,"['central_air', 'community_outdoor_space', 'cul_de_sac', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities']",204-Windfield-Ct_Raleigh_NC_27615_M69031-79301,for_sale,2022-05-06T13:03:54Z,,"[{'name': 'MAS Holdings, LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/1f005ba1dae3ec6b47e3553957a5d3a2l-m1368900872s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/1f005ba1dae3ec6b47e3553957a5d3a2l-m2830657549s-w1024_h768.jpg'}]",,384900,False,6903179301,,,2942809148,,https://ap.rdcpix.com/1f005ba1dae3ec6b47e3553957a5d3a2l-m1368900872s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,4C699F4830C77C24BE3ACA87C03C5F9C,,,,,,,True,,,True,False,False,co_broke,['co_broke'],basic_opt_in,1971.0,,2008-09-09,215000.0,2.0,,1.0,15246.0,2029.0,3.0,,,,,4.0,single_family,27615,North Carolina,-78.636017,35.86491,Raleigh,NC,204 Windfield Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=204%20Windfield%20Ct%2C%20Raleigh%2C%20NC%2027615&size=640x480&source=outdoor&signature=X99y9yuZagZoIq8yP2MHTHadlEI=,37183,Wake,"[{'listing_id': '2942809148', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '581617454', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '562166250', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '537434166', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '503356682', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
5,2022-05-06T10:53:29Z,"['central_air', 'community_outdoor_space', 'family_room', 'fireplace', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories']",11813-Garden-Warbler-Ln_Raleigh_NC_27613_M59985-60256,for_sale,2022-05-06T10:59:23Z,,"[{'name': 'Keller Williams Preferred Realty - Brier Creek', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/90762a1662f6027ab61160f6c427f17cl-m2383522173s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/90762a1662f6027ab61160f6c427f17cl-m427017547s-w1024_h768.jpg'}]",,400000,False,5998560256,,,2942807194,,https://ap.rdcpix.com/90762a1662f6027ab61160f6c427f17cl-m2383522173s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,6055FFA5D6F7E312864B0AF90F3D77D6,,,,,,,True,,,True,False,False,co_broke,"['core.broker', 'co_broke']",essentials,2000.0,,2008-06-02,208500.0,2.0,,1.0,4792.0,1734.0,3.0,,,,2.0,4.0,single_family,27613,North Carolina,-78.743535,35.923667,Raleigh,NC,11813 Garden Warbler Ln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=11813%20Garden%20Warbler%20Ln%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=S6KJqx9lZEgZC7RPOoYq9viti6I=,37183,Wake,"[{'listing_id': '2942807194', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
6,2022-05-06T10:08:26Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories']",6301-Pesta-Ct_Raleigh_NC_27612_M64031-05814,for_sale,2022-05-06T10:09:03Z,,"[{'name': 'Shenandoah Real Estate, Llc', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/f733735066fc9ee57a498ae2e98e0a7el-m2325327811s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/f733735066fc9ee57a498ae2e98e0a7el-m4032641039s-w1024_h768.jpg'}]",,380000,False,6403105814,,,2942806745,,https://ap.rdcpix.com/f733735066fc9ee57a498ae2e98e0a7el-m2325327811s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,954CC765AAE3D97F6147839B64BDD4E8,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2016.0,,2016-03-15,168000.0,2.0,,1.0,2178.0,1380.0,3.0,townhouse,,,2.0,2.0,townhomes,27612,North Carolina,-78.725584,35.868225,Raleigh,NC,6301 Pesta Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=6301%20Pesta%20Ct%2C%20Raleigh%2C%20NC%2027612&size=640x480&source=outdoor&signature=GGndFHyNJVYrG64LmyP4Vu9y7Kw=,37183,Wake,"[{'listing_id': '2942806745', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '600344850', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
7,2022-05-06T01:30:59Z,"['central_air', 'hardwood_floors', 'two_or_more_stories']",2808-Carter-Finley-Pl_Raleigh_NC_27606_M52563-10449,for_sale,2022-05-06T01:02:00Z,,"[{'name': 'RE/MAX United', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/0287eb1e654f6b2aa588e3a7b6f5b9f9l-m739013237s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/0287eb1e654f6b2aa588e3a7b6f5b9f9l-m2263372530s-w1024_h768.jpg'}]",,370000,False,5256310449,,,2942794222,,https://ap.rdcpix.com/0287eb1e654f6b2aa588e3a7b6f5b9f9l-m739013237s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,D3393A806D687009009452EC7096D2C8,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2012.0,,,,3.0,,1.0,1307.0,1625.0,4.0,townhouse,,,3.0,3.0,townhomes,27606,North Carolina,-78.703695,35.74851,Raleigh,NC,2808 Carter Finley Pl,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2808%20Carter%20Finley%20Pl%2C%20Raleigh%2C%20NC%2027606&size=640x480&source=outdoor&signature=1H557k1yduAX51ANVVbhfQxatJs=,37183,Wake,"[{'listing_id': '2942794222', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '550555606', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
8,2022-05-05T21:27:41Z,"['central_air', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'ensuite']",2513-Bent-Green-St_Raleigh_NC_27614_M53686-64699,for_sale,2022-05-05T21:32:06Z,,"[{'name': 'Mark Spain Real Estate', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/dc472672358a4a4012facecd4519010el-m1984181694s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/dc472672358a4a4012facecd4519010el-m620270079s-w1024_h768.jpg'}]",,380000,False,5368664699,,,2942786090,,https://ap.rdcpix.com/dc472672358a4a4012facecd4519010el-m1984181694s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,2B1642CD20FE974F528A1823593ACDB2,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2003.0,,2003-10-10,159000.0,2.0,,,5663.0,1486.0,2.0,townhouse,,2.0,1.0,2.0,townhomes,27614,North Carolina,-78.564363,35.936177,Raleigh,NC,2513 Bent Green St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2513%20Bent%20Green%20St%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=JevIDQ-TIOlYaXQcDXGBVJTn4go=,37183,Wake,"[{'listing_id': '2942786090', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
9,2022-05-05T19:45:39Z,"['forced_air', 'hardwood_floors', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",3618-Jordanmill-Ct_Raleigh_NC_27616_M61079-94585,for_sale,2022-05-05T19:30:23Z,,"[{'name': 'Mark Spain Real Estate', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/df6c9b6146ae44ecab5dc1cbdaaaba03l-m921492991s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/df6c9b6146ae44ecab5dc1cbdaaaba03l-m2538733847s-w1024_h768.jpg'}]",,374900,False,6107994585,,,2942779660,,https://ap.rdcpix.com/df6c9b6146ae44ecab5dc1cbdaaaba03l-m921492991s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,F4DB8144070307FBB6008D0B06938A27,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2001.0,,2001-10-05,137000.0,2.0,,1.0,7405.0,1774.0,3.0,,,2.0,2.0,4.0,single_family,27616,North Carolina,-78.509228,35.878775,Raleigh,NC,3618 Jordanmill Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3618%20Jordanmill%20Ct%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=LiBzMSDeWDPtnp2IjwPCGqj4Rt0=,37183,Wake,"[{'listing_id': '2942779660', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
