,primary_photo,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,primary_photo.href,tax_record,community.advertisers,community.property_id,community.description.name,location.address.coordinate,other_listings
0,,2022-05-07T04:00:15Z,"['central_air', 'city_view', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'community_tennis_court', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'granite_kitchen', 'fenced_yard', 'master_bedroom', 'front_porch']",8022-McKee-Dr_Raleigh_NC_27616_M68849-29565,for_sale,2022-05-07T04:05:59Z,,"[{'name': 'eXp Realty', 'photo': None, 'type': 'Office'}]",,,430000,False,6884929565,,,2942844839,,[{'office_name': None}],TANC,,,mls,6CCD1F62D2AC5A178582488B386E8719,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2011.0,,2016-05-16,239000.0,2.0,,1.0,5532.0,2455.0,3.0,,,2.0,2.0,3.0,single_family,27616,North Carolina,-78.520868,35.895702,Raleigh,NC,8022 McKee Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=8022%20McKee%20Dr%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=cL522KOW5hxLeeTezDYMvRP7hKE=,37183,Wake,"[{'listing_id': '2942844839', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '612697722', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
1,,2022-05-06T22:41:03Z,"['central_air', 'community_security_features', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'single_story']",3105-Barnsley-Ln_Raleigh_NC_27604_M51321-56318,for_sale,2022-05-06T22:45:58Z,"[{'start_date': '2022-05-07T12:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T14:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Keller Williams Elite Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/228ccef3257946ac1ff2a958e98bac7bl-m1180896325s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/228ccef3257946ac1ff2a958e98bac7bl-m1253184446s-w1024_h768.jpg'}]",,450000,False,5132156318,,,2942837119,,[{'office_name': None}],TANC,,,mls,9F153C7987A3AEDF035FC3FED9C1B4C5,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1977.0,,2018-09-17,275000.0,2.0,,,40946.0,2750.0,2.0,,,,1.0,3.0,single_family,27604,North Carolina,-78.551269,35.825101,Raleigh,NC,3105 Barnsley Ln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3105%20Barnsley%20Ln%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=EDdFGtF46Hm2_OLmMDNlfbVr0d8=,37183,Wake,"[{'listing_id': '2942837119', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '526282334', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/228ccef3257946ac1ff2a958e98bac7bl-m1180896325s-w1024_h768.jpg,,,,,,
2,,2022-05-06T14:18:51Z,"['central_air', 'community_outdoor_space', 'corner_lot', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",5500-Oldtowne-Rd_Raleigh_NC_27612_M60947-20541,for_sale,2022-05-06T14:14:58Z,,"[{'name': 'PICKET FENCE REALTY', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/3517d9a30ac47c2ab07e73f27a196ef8l-m1628701308s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/3517d9a30ac47c2ab07e73f27a196ef8l-m2503623777s-w1024_h768.jpg'}]",,449000,False,6094720541,,,2942811716,,[{'office_name': 'Picket Fence Realty'}],TANC,,,mls,DDEA55DD1B8F621F98380F3F582A81D0,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1981.0,,,,2.0,,1.0,13068.0,1827.0,3.0,,,2.0,2.0,3.0,single_family,27612,North Carolina,-78.669093,35.853907,Raleigh,NC,5500 Oldtowne Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5500%20Oldtowne%20Rd%2C%20Raleigh%2C%20NC%2027612&size=640x480&source=outdoor&signature=k-CYCfCku24rp2XPVvtNMUtTKgs=,37183,Wake,"[{'listing_id': '2942811716', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '545025334', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/3517d9a30ac47c2ab07e73f27a196ef8l-m1628701308s-w1024_h768.jpg,,,,,,
3,,2022-05-06T16:03:47Z,"['central_air', 'community_golf', 'community_outdoor_space', 'community_tennis_court', 'corner_lot', 'fireplace', 'forced_air', 'golf_course_lot_or_frontage', 'golf_course_view', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",12226-Fox-Valley-St_Raleigh_NC_27614_M57377-62338,for_sale,2022-05-06T13:48:29Z,,"[{'name': 'eXp Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/6b528c9b8c0d512cccbae76d014079eal-m599086856s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/6b528c9b8c0d512cccbae76d014079eal-m865947266s-w1024_h768.jpg'}]",,449000,False,5737762338,,,2942810607,,[{'office_name': None}],TANC,,,mls,852E5B621D16907CB12E35A0A4840C51,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2004.0,,2004-01-28,224500.0,2.0,,1.0,3049.0,2149.0,3.0,townhouse,,2.0,2.0,4.0,townhomes,27614,North Carolina,-78.547295,35.962761,Raleigh,NC,12226 Fox Valley St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=12226%20Fox%20Valley%20St%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=elT1VNOcwy77mk3sjywf5CQLlPk=,37183,Wake,"[{'listing_id': '2942810607', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",https://ap.rdcpix.com/6b528c9b8c0d512cccbae76d014079eal-m599086856s-w1024_h768.jpg,,,,,,
4,,2022-05-06T04:07:42Z,"['central_air', 'community_clubhouse', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",10119-Barnhart-Way_Raleigh_NC_27617_M57806-85640,for_sale,2022-05-06T04:10:41Z,,"[{'name': 'Esteem Properties', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/49ce9d9d54dc6f82cc83ed117e2c8edbl-m3642709169s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/49ce9d9d54dc6f82cc83ed117e2c8edbl-m3948334196s-w1024_h768.jpg'}]",,449000,False,5780685640,,,2942801307,,[{'office_name': None}],TANC,,,mls,6148F8807616B084089539DA334CF46D,,,,,,,True,,,True,False,False,co_broke,"['core.broker', 'co_broke']",essentials,2012.0,,2018-06-01,285000.0,2.0,,1.0,2614.0,1703.0,3.0,townhouse,,2.0,2.0,3.0,townhomes,27617,North Carolina,-78.804651,35.899531,Raleigh,NC,10119 Barnhart Way,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=10119%20Barnhart%20Way%2C%20Raleigh%2C%20NC%2027617&size=640x480&source=outdoor&signature=B5joGPTzAx7rT8l-RPlDUfEM__Q=,37183,Wake,"[{'listing_id': '2942801307', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '640208866', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/49ce9d9d54dc6f82cc83ed117e2c8edbl-m3642709169s-w1024_h768.jpg,,,,,,
5,,2022-05-06T00:35:07Z,"['central_air', 'city_view', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",3657-Althorp-Dr_Raleigh_NC_27616_M53822-83458,for_sale,2022-05-06T00:39:07Z,,"[{'name': 'Northside Realty Inc.', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/78de1ffd3339916a4e855cb42bf3cdcdl-m2513130831s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/78de1ffd3339916a4e855cb42bf3cdcdl-m1126080235s-w1024_h768.jpg'}]",,424900,False,5382283458,,,2942793114,,[{'office_name': None}],TANC,,,mls,513A9F780DEB5133EAD14F76195F2947,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2012.0,,2012-08-30,218500.0,2.0,,1.0,6970.0,2400.0,3.0,,,2.0,2.0,3.0,single_family,27616,North Carolina,-78.521536,35.895611,Raleigh,NC,3657 Althorp Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3657%20Althorp%20Dr%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=PzdXI0kcWeYpdSve_9RBJika1lU=,37183,Wake,"[{'listing_id': '2942793114', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",https://ap.rdcpix.com/78de1ffd3339916a4e855cb42bf3cdcdl-m2513130831s-w1024_h768.jpg,,,,,,
6,,2022-05-05T23:35:41Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",808-Elbridge-Dr_Raleigh_NC_27603_M66637-42288,for_sale,2022-05-05T23:41:17Z,,"[{'name': 'Tarheel Native Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/81cc167a8a872029d18e0e9b0a97857cl-m2485138039s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/81cc167a8a872029d18e0e9b0a97857cl-m865527992s-w1024_h768.jpg'}]",,449000,False,6663742288,,,2942790377,,[{'office_name': None}],TANC,,,mls,A5CF86C24C8B3B17928E13B1D32F155D,,,,,,,True,,,True,False,False,co_broke,"['core.broker', 'co_broke']",essentials,1997.0,,1997-02-28,200000.0,2.0,,1.0,32234.0,2292.0,3.0,,,2.0,2.0,3.0,single_family,27603,North Carolina,-78.669023,35.615619,Raleigh,NC,808 Elbridge Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=808%20Elbridge%20Dr%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=4bwbG0ErPb0ufHDGiSkLlhzSQP4=,37183,Wake,"[{'listing_id': '2942790377', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",https://ap.rdcpix.com/81cc167a8a872029d18e0e9b0a97857cl-m2485138039s-w1024_h768.jpg,,,,,,
7,,2022-05-05T22:54:57Z,"['central_air', 'community_outdoor_space', 'den_or_office', 'family_room', 'fireplace', 'hardwood_floors', 'two_or_more_stories', 'vaulted_ceiling', 'no_hoa', 'master_suite', 'shopping']",5100-Swift-Ridge-Rd_Raleigh_NC_27606_M54014-78508,for_sale,2022-05-05T22:56:03Z,"[{'start_date': '2022-05-07T12:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T14:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'EXP Realty LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/d04751b013d8d346173acf0e36689b53l-m882662657s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/d04751b013d8d346173acf0e36689b53l-m128997162s-w1024_h768.jpg'}]",,415000,False,5401478508,,,2942789191,,[{'office_name': None}],TANC,,,mls,4B58CB14D1C08254DEAF68298C9AE47D,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1980.0,,2009-11-18,289000.0,2.0,,,44867.0,1665.0,2.0,,,,2.0,3.0,single_family,27606,North Carolina,-78.748972,35.728725,Raleigh,NC,5100 Swift Ridge Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5100%20Swift%20Ridge%20Rd%2C%20Raleigh%2C%20NC%2027606&size=640x480&source=outdoor&signature=ORNSHcSFdlGMYvAYeNCqXL7gLGY=,37183,Wake,"[{'listing_id': '2942789191', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",https://ap.rdcpix.com/d04751b013d8d346173acf0e36689b53l-m882662657s-w1024_h768.jpg,,,,,,
8,,2022-05-05T21:24:17Z,"['city_view', 'community_clubhouse', 'community_outdoor_space', 'community_tennis_court', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'front_porch']",4435-Crystal-Breeze-St_Raleigh_NC_27614_M53328-51425,for_sale,2022-05-05T21:32:06Z,,"[{'name': ""Carolina's Choice Real Estate"", 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/f13d9daeae24e927e410c26f6c8b2b65l-m1887428645s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/f13d9daeae24e927e410c26f6c8b2b65l-m2055332335s-w1024_h768.jpg'}]",,445000,False,5332851425,,,2942786175,,[{'office_name': None}],TANC,,,mls,166FF80C928D87754240FDA86B48FE72,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'co_broke']",basic_opt_in,2005.0,,2018-10-26,296000.0,3.0,,1.0,3049.0,2009.0,4.0,,,2.0,3.0,4.0,single_family,27614,North Carolina,-78.575962,35.922976,Raleigh,NC,4435 Crystal Breeze St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4435%20Crystal%20Breeze%20St%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=hesM-OWQkKptDRrgcZ_NMU3arbU=,37183,Wake,"[{'listing_id': '2942786175', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '646644082', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '617261994', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '527896514', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/f13d9daeae24e927e410c26f6c8b2b65l-m1887428645s-w1024_h768.jpg,,,,,,
9,,2022-05-05T18:03:30Z,"['central_air', 'community_outdoor_space', 'fireplace', 'forced_air', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'farm', 'ranch', 'new_roof']",2814-Haven-Rd_Raleigh_NC_27610_M60422-50126,for_sale,2022-05-05T18:08:32Z,,"[{'name': 'Mark Spain Real Estate', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/c2a1cb7baa1d72eb4545d50c7143cad3l-m596009316s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/c2a1cb7baa1d72eb4545d50c7143cad3l-m844735568s-w1024_h768.jpg'}]",,445000,False,6042250126,,,2942774630,,[{'office_name': 'Mark Spain Real Estate'}],TANC,,,mls,95DA9F465F4E9D6ADF7A94591EFDD979,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1963.0,,2014-08-05,155000.0,2.0,,,23522.0,1910.0,2.0,,,2.0,1.0,3.0,single_family,27610,North Carolina,-78.58996,35.776392,Raleigh,NC,2814 Haven Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2814%20Haven%20Rd%2C%20Raleigh%2C%20NC%2027610&size=640x480&source=outdoor&signature=bFZJENwZKInwqm55PDJUvQh47aY=,37183,Wake,"[{'listing_id': '2942774630', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",https://ap.rdcpix.com/c2a1cb7baa1d72eb4545d50c7143cad3l-m596009316s-w1024_h768.jpg,,,,,,
