,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,primary_photo.href,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,tax_record,other_listings,community.advertisers,community.property_id,community.description.name
0,2022-05-06T17:23:21Z,"['carport', 'central_air', 'community_outdoor_space', 'community_security_features', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'basement', 'two_or_more_stories', 'groundscare']",5604-Dumfries-Dr_Raleigh_NC_27609_M56048-19863,for_sale,2022-05-06T17:23:52Z,,"[{'name': 'Berkshire Hathaway Homeservices Ysu', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/df57aaa0d4cca088f02120af69d6e5fdl-m2848100605s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/df57aaa0d4cca088f02120af69d6e5fdl-m589837768s-w1024_h768.jpg'}]",,485000,False,5604819863,,,2942821010,,https://ap.rdcpix.com/df57aaa0d4cca088f02120af69d6e5fdl-m2848100605s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,D7D402EA9098881FDC4BC71099B32218,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2021.0,,1996-01-22,37500.0,3.0,,,13504.0,2041.0,3.0,,,,,4.0,single_family,27609,North Carolina,-78.613423,35.860793,Raleigh,NC,5604 Dumfries Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5604%20Dumfries%20Dr%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=gMxEcXngdrz3v3TclE_Jd5IfrHc=,37183,Wake,"[{'listing_id': '2942821010', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,
1,2022-05-06T16:20:22Z,"['central_air', 'fireplace', 'forced_air', 'hardwood_floors', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",7655-Birchmoor-Way_Raleigh_NC_27616_M64846-34830,for_sale,2022-05-06T16:18:31Z,,"[{'name': 'Howard Perry & Walston Realtors', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/91336e884858fb9b4b721923671d6771l-m4136016752s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/91336e884858fb9b4b721923671d6771l-m2635917815s-w1024_h768.jpg'}]",,470000,False,6484634830,,,2942817493,,https://ap.rdcpix.com/91336e884858fb9b4b721923671d6771l-m4136016752s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,8D78E809557CB0D24B16CC6F7F0D1455,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2013.0,,2018-04-06,284000.0,2.0,,1.0,6970.0,2825.0,3.0,,,2.0,2.0,4.0,single_family,27616,North Carolina,-78.505337,35.838756,Raleigh,NC,7655 Birchmoor Way,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7655%20Birchmoor%20Way%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=WAhWuxIMxQXwc3DPrKdpZYBI4Is=,37183,Wake,"[{'listing_id': '2942817493', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '637183766', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
2,2022-05-07T00:45:42Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'forced_air', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more']",3828-Yates-Mill-Trl_Raleigh_NC_27606_M59575-67228,for_sale,2022-05-06T12:17:28Z,,"[{'name': 'Dogwood Properties', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/908572f1bc296a19ca9ff79bf70cfe08l-m282489033s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/908572f1bc296a19ca9ff79bf70cfe08l-m3573277960s-w1024_h768.jpg'}]",,499000,False,5957567228,,,2942808164,,https://ap.rdcpix.com/908572f1bc296a19ca9ff79bf70cfe08l-m282489033s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,4E2FC51A88950E77FEBEF03D0349AB8E,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2012.0,,2018-03-14,310000.0,2.0,,1.0,3920.0,1837.0,3.0,,,1.0,2.0,3.0,single_family,27606,North Carolina,-78.704446,35.746067,Raleigh,NC,3828 Yates Mill Trl,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3828%20Yates%20Mill%20Trl%2C%20Raleigh%2C%20NC%2027606&size=640x480&source=outdoor&signature=Rr1JpYGxAzn_JsSBY85yRaxhFNw=,37183,Wake,"[{'listing_id': '2942808164', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '636261310', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
3,2022-05-05T16:09:16Z,"['community_outdoor_space', 'den_or_office', 'dining_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'front_porch']",1424-Shady-Rise-Gln_Raleigh_NC_27603_M68272-88141,for_sale,2022-05-05T16:13:09Z,,"[{'name': 'Dream Team Realty Group Llc', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/8976511be80531f59c8960d259901103l-m2297043972s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/8976511be80531f59c8960d259901103l-m1416462052s-w1024_h768.jpg'}]",,499900,False,6827288141,,,2942768763,,https://ap.rdcpix.com/8976511be80531f59c8960d259901103l-m2297043972s-w1024_h768.jpg,[{'office_name': 'Dream Team Realty Group LLC'}],TANC,,,mls,753B0D318D34DBFA7057DA888E71DFC2,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2008.0,,2013-05-30,240000.0,2.0,,1.0,39204.0,2815.0,3.0,,,2.0,2.0,3.0,single_family,27603,North Carolina,-78.694184,35.618396,Raleigh,NC,1424 Shady Rise Gln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1424%20Shady%20Rise%20Gln%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=ZjTH5CbyN6fcRo21_Myn0heHYnI=,37183,Wake,"[{'listing_id': '2942768763', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '611919066', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '566275822', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
4,2022-05-05T11:39:30Z,"['central_air', 'community_outdoor_space', 'cul_de_sac', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",2608-Deanwood-Dr_Raleigh_NC_27615_M63187-19672,for_sale,2022-05-05T11:51:04Z,,"[{'name': 'Hutzler, Realtors', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/e1a50fbce2e6e80d7b994fa5f80f109bl-m4270164088s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/e1a50fbce2e6e80d7b994fa5f80f109bl-m4108750077s-w1024_h768.jpg'}]",,490000,False,6318719672,,,2942758290,,https://ap.rdcpix.com/e1a50fbce2e6e80d7b994fa5f80f109bl-m4270164088s-w1024_h768.jpg,"[{'office_name': 'Hutzler, Realtors'}]",TANC,,,mls,8B71791BE3800DA43781B2E1EF846D31,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1994.0,,2017-08-07,320000.0,2.0,,1.0,9148.0,2190.0,3.0,,,2.0,2.0,3.0,single_family,27615,North Carolina,-78.592112,35.899608,Raleigh,NC,2608 Deanwood Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2608%20Deanwood%20Dr%2C%20Raleigh%2C%20NC%2027615&size=640x480&source=outdoor&signature=nLUhSDQI_A4Y0TDy0O7vcqWUvWQ=,37183,Wake,"[{'listing_id': '2942758290', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '628532002', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '602120698', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '528516018', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
5,2022-05-05T04:23:40Z,"['central_air', 'city_view', 'community_golf', 'community_outdoor_space', 'community_tennis_court', 'family_room', 'fireplace', 'forced_air', 'golf_course_lot_or_frontage', 'golf_course_view', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'two_or_more_stories', 'garage_1_or_more']",11109-Maplecroft-Ct_Raleigh_NC_27617_M50415-53182,for_sale,2022-05-05T04:25:33Z,,"[{'name': 'MDT Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/c9bc16e973f1d67807131db97d20dfa7l-m1292039862s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/c9bc16e973f1d67807131db97d20dfa7l-m3386111518s-w1024_h768.jpg'}]",,489900,False,5041553182,,,2942753042,,https://ap.rdcpix.com/c9bc16e973f1d67807131db97d20dfa7l-m1292039862s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,5D2CB431C9FBEC1B8F4914F36E0D8C45,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2004.0,,2005-09-01,274000.0,2.0,,1.0,2614.0,2527.0,3.0,townhouse,,1.0,2.0,3.0,townhomes,27617,North Carolina,-78.80434,35.91705,Raleigh,NC,11109 Maplecroft Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=11109%20Maplecroft%20Ct%2C%20Raleigh%2C%20NC%2027617&size=640x480&source=outdoor&signature=9tnlk3vOn7GsUgjK8s2OxOFSPYo=,37183,Wake,"[{'listing_id': '2942753042', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,
6,2022-05-05T15:12:14Z,"['community_outdoor_space', 'community_security_features', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more']",608-Scales-Towne-Ct_Raleigh_NC_27608_M65570-93978,for_sale,2022-05-04T17:56:24Z,,"[{'name': 'Re/Max Advantage', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/4dcb7d385652f9e0678637483e1ae9f1l-m3759247573s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/4dcb7d385652f9e0678637483e1ae9f1l-m2225388815s-w1024_h768.jpg'}]",,499900,False,6557093978,,,2942730164,,https://ap.rdcpix.com/4dcb7d385652f9e0678637483e1ae9f1l-m3759247573s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,DE449CD6FF2C68BD4D3E8733F7444F68,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2000.0,,2019-06-25,355000.0,2.0,,1.0,1307.0,1724.0,3.0,townhouse,,1.0,3.0,2.0,townhomes,27608,North Carolina,-78.643831,35.798868,Raleigh,NC,608 Scales Towne Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=608%20Scales%20Towne%20Ct%2C%20Raleigh%2C%20NC%2027608&size=640x480&source=outdoor&signature=cHIM1ip8D00rNxqk8RzlMkstJ4U=,37183,Wake,"[{'listing_id': '2942730164', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2265024488', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '606949142', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '566449410', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '551723546', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '505867598', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
7,2022-05-06T16:31:24Z,"['community_outdoor_space', 'corner_lot', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more']",1208-Country-Ridge-Dr_Raleigh_NC_27609_M55259-89096,for_sale,2022-05-04T16:25:31Z,,"[{'name': 'RE/MAX United', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/9d044595f912a03eccbd59fd136fc548l-m729335210s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/9d044595f912a03eccbd59fd136fc548l-m693436378s-w1024_h768.jpg'}]",,475000,False,5525989096,,"[{'type': None, 'href': 'https://view.paradym.com/idx/1208-Country-Ridge-Drive-Raleigh-NC-27609/4724007/prt/20'}]",2942726135,,https://ap.rdcpix.com/9d044595f912a03eccbd59fd136fc548l-m729335210s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,8C3536CA556932A73BE076E9CE3753A0,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1963.0,,2014-01-17,175000.0,2.0,,,17860.0,1736.0,2.0,,,2.0,1.0,3.0,single_family,27609,North Carolina,-78.615326,35.847632,Raleigh,NC,1208 Country Ridge Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1208%20Country%20Ridge%20Dr%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=is6DU_xunISXCu4UXQxCyiV1u9Q=,37183,Wake,"[{'listing_id': '2942726135', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '579988058', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
8,2022-05-04T06:37:16Z,"['central_air', 'community_outdoor_space', 'community_tennis_court', 'energy_efficient', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'big_yard', 'fenced_yard', 'playground', 'tennis']",9301-Erinsbrook-Dr_Raleigh_NC_27617_M65946-01889,for_sale,2022-05-04T07:22:26Z,,"[{'name': 'Coldwell Banker Howard Perry and Walston N Raleigh', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/9fdb2fc2c153d05cace02983e1a8e4c9l-m862502031s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/9fdb2fc2c153d05cace02983e1a8e4c9l-m670548377s-w1024_h768.jpg'}]",,480000,False,6594601889,,,2942715201,,https://ap.rdcpix.com/9fdb2fc2c153d05cace02983e1a8e4c9l-m862502031s-w1024_h768.jpg,[{'office_name': None}],NCNC,,,mls,B2246633003B84D14691DFEB777FEEAE,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'co_broke']",basic_opt_in,1998.0,,2002-07-12,168000.0,2.0,,1.0,7841.0,1761.0,3.0,,,2.0,2.0,3.0,single_family,27617,North Carolina,-78.749461,35.911733,Raleigh,NC,9301 Erinsbrook Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=9301%20Erinsbrook%20Dr%2C%20Raleigh%2C%20NC%2027617&size=640x480&source=outdoor&signature=rq81wQztC0M86EAitdELsuuuXFI=,37183,Wake,"[{'listing_id': '2942715201', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,
9,2022-05-04T13:55:47Z,"['central_air', 'community_golf', 'community_outdoor_space', 'den_or_office', 'fireplace', 'golf_course_lot_or_frontage', 'hardwood_floors', 'recreation_facilities', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'theater_room', 'golf_course', 'shopping']",12202-Fox-Valley-St_Raleigh_NC_27614_M62001-42408,for_sale,2022-05-04T02:27:48Z,,"[{'name': 'Howard Perry and Walston', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/5fdd2d8f47c5866d7d22a2893178bd30l-m4023257450s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/5fdd2d8f47c5866d7d22a2893178bd30l-m3660584774s-w1024_h768.jpg'}]",,499900,False,6200142408,,,2942710188,99.0,https://ap.rdcpix.com/5fdd2d8f47c5866d7d22a2893178bd30l-m4023257450s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,618E8C24822DED35602877850A646186,,,,True,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2003.0,,2016-06-15,300000.0,3.0,,1.0,3049.0,3220.0,4.0,townhouse,,2.0,2.0,4.0,townhomes,27614,North Carolina,-78.546795,35.961799,Raleigh,NC,12202 Fox Valley St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=12202%20Fox%20Valley%20St%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=BRyOmQFlR1cvJwbl9xL-gKPLhLc=,37183,Wake,"[{'listing_id': '2942710188', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '616339946', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '613481762', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '523171250', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
