,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,primary_photo.href,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,community.advertisers,community.property_id,community.description.name,tax_record,other_listings,primary_photo,products
0,2022-05-06T10:51:14Z,"['central_air', 'city_view', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'community_tennis_court', 'den_or_office', 'fireplace', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'large_kitchen', 'open_kitchen', 'private_backyard', 'vaulted_ceiling', 'new_roof', 'clubhouse', 'playground', 'tennis', 'trails']",8817-Walking-Stick-Trl_Raleigh_NC_27615_M54179-27310,for_sale,2022-05-06T10:59:23Z,"[{'start_date': '2022-05-07T12:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T14:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Choice Residential Real Estate', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/e69dc9bb6d0e9d883a87e6cc15c3536dl-m1829308600s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/e69dc9bb6d0e9d883a87e6cc15c3536dl-m2927726919s-w1024_h768.jpg'}]",,525000,False,5417927310,,,2942807193,,https://ap.rdcpix.com/e69dc9bb6d0e9d883a87e6cc15c3536dl-m1829308600s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,E7F93FB4B10F0C53B43D415B9D5B1F9F,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1994.0,,2006-07-26,251000.0,2.0,,1.0,8712.0,2637.0,3.0,,,2.0,2.0,4.0,single_family,27615,North Carolina,-78.584523,35.897287,Raleigh,NC,8817 Walking Stick Trl,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=8817%20Walking%20Stick%20Trl%2C%20Raleigh%2C%20NC%2027615&size=640x480&source=outdoor&signature=oBrHb7FQWUn9vIEzZoH8jkZ6ryc=,37183,Wake,"[{'listing_id': '2942807193', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
1,2022-05-06T12:21:45Z,"['central_air', 'community_outdoor_space', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'open_floor_plan', 'floor_plan', 'front_porch', 'shopping']",3446-Norway-Spruce-Rd_Raleigh_NC_27616_M94413-07739,for_sale,2022-05-06T01:24:43Z,"[{'start_date': '2022-05-07T11:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T13:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Allen Tate Realtors-Raleigh-Falls of Neuse', 'photo': 'https://ap.rdcpix.com/569826821/06fa19acf2f47170ca75a347468039abg-c0s.jpg', 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/f2288611d436d5e7ca25fb719d8220dbl-m2550340658s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/f2288611d436d5e7ca25fb719d8220dbl-m3921162784s-w1024_h768.jpg'}]",,515000,False,9441307739,,,2942796874,,https://ap.rdcpix.com/f2288611d436d5e7ca25fb719d8220dbl-m2550340658s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,DC1B46EA771C81A396C808E361871EC0,,,,,,,True,,,True,False,False,advantage_pro,"['core.agent', 'core.broker', 'listing_owner_lead.broker', 'listing_owner_brand.broker']",advantage_pro,2019.0,,2019-08-14,332000.0,3.0,,,6098.0,3100.0,3.0,,,2.0,2.0,5.0,single_family,27616,North Carolina,-78.511703,35.9036,Raleigh,NC,3446 Norway Spruce Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3446%20Norway%20Spruce%20Rd%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=P1v32vVfZeZ38gBJmDTimpPfjmI=,37183,Wake,"[{'listing_id': '2942796874', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2398345196', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
2,2022-05-05T14:03:49Z,"['basement', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'den_or_office', 'disability_features', 'energy_efficient', 'family_room', 'fireplace', 'garage_1_or_more', 'hardwood_floors', 'laundry_room']",4704-Scollay-Ct_Raleigh_NC_27609_M68784-56054,for_sale,2022-05-05T06:21:37Z,"[{'start_date': '2022-05-07T10:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T12:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Premier Agents Network', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/9134f42f8781691c90a642eee516b59cl-m1545202184s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/9134f42f8781691c90a642eee516b59cl-m772123293s-w1024_h768.jpg'}]",,525000,False,6878456054,,,2942754707,,https://ap.rdcpix.com/9134f42f8781691c90a642eee516b59cl-m1545202184s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,E97B0BFA63ED086455933C4396821E8B,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'co_broke']",basic_opt_in,1971.0,,1990-02-23,120000.0,3.0,,,13939.0,2146.0,3.0,,,1.0,,4.0,single_family,27609,North Carolina,-78.61714,35.84565,Raleigh,NC,4704 Scollay Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4704%20Scollay%20Ct%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=3UumNmWyzkBdj2CSLsbmdzJGLbE=,37183,Wake,"[{'listing_id': '2942754707', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
3,2022-05-04T18:56:59Z,"['community_clubhouse', 'community_horse_facilities', 'community_outdoor_space', 'community_tennis_court', 'family_room', 'fireplace', 'horse_facilities', 'recreation_facilities', 'tennis_court', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",11413-Old-Creedmoor-Rd_Raleigh_NC_27613_M65332-29957,for_sale,2022-05-04T19:03:07Z,,"[{'name': 'Fonville Morisey/Stonehenge Sales Office', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/adfffeea209abddd46d4e7844e4e8541l-m3544219087s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/adfffeea209abddd46d4e7844e4e8541l-m2774375091s-w1024_h768.jpg'}]",,532000,False,6533229957,,,2942733523,,https://ap.rdcpix.com/adfffeea209abddd46d4e7844e4e8541l-m3544219087s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,2CA558681D780E4162960073FDB4BE55,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1983.0,,1974-03-25,10500.0,2.0,,1.0,43560.0,3300.0,3.0,,,2.0,2.0,4.0,single_family,27613,North Carolina,-78.700918,35.946618,Raleigh,NC,11413 Old Creedmoor Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=11413%20Old%20Creedmoor%20Rd%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=G2CVABVW7uOzyUtlTLjhMfFDWuc=,37183,Wake,"[{'listing_id': '2942733523', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
4,2022-05-06T19:10:22Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'family_room', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'community_swimming_pool', 'single_story', 'high_ceiling']",400-W-North-St-Apt-1018_Raleigh_NC_27603_M50831-35829,for_sale,2022-05-04T15:13:59Z,,"[{'name': 'Glenwood Agency, LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/ea6fdb021b32329b3208d6df7ce98936l-m2814824826s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/ea6fdb021b32329b3208d6df7ce98936l-m3274964326s-w1024_h768.jpg'}]",,510000,False,5083135829,,,2942723087,,https://ap.rdcpix.com/ea6fdb021b32329b3208d6df7ce98936l-m2814824826s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,E9E1E2590578BE7504BF4E57A13A6C93,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2007.0,,2017-04-18,365000.0,2.0,,,,1196.0,2.0,condo,,,1.0,2.0,condos,27603,North Carolina,-78.645217,35.785203,Raleigh,NC,400 W North St Apt 1018,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=400%20W%20North%20St%20Apt%201018%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=96e3eaXCtDHjSldYo_SLS5KzM28=,37183,Wake,"[{'listing_id': '2942723087', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '625125842', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
5,2022-05-04T02:01:16Z,"['central_air', 'fireplace', 'forced_air', 'hardwood_floors', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",3975-Massey-Wood-Trl_Raleigh_NC_27616_M57648-38017,for_sale,2022-05-04T01:59:24Z,,"[{'name': 'People Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/320cfd49d88fdb365f13fb63efef0687l-m249157635s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/320cfd49d88fdb365f13fb63efef0687l-m2853364176s-w1024_h768.jpg'}]",,515000,False,5764838017,,,2942709684,,https://ap.rdcpix.com/320cfd49d88fdb365f13fb63efef0687l-m249157635s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,93B764B41577DFF9607B7257E4BFFAD8,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2008.0,,2009-11-23,259000.0,2.0,,1.0,5663.0,2897.0,3.0,,,2.0,3.0,4.0,single_family,27616,North Carolina,-78.521761,35.864452,Raleigh,NC,3975 Massey Wood Trl,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3975%20Massey%20Wood%20Trl%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=qLAq64OfGFwDhPG3RsyNQ6talwQ=,37183,Wake,"[{'listing_id': '2942709684', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2935641862', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '503320158', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
6,2022-05-03T12:30:20Z,"['new_construction', 'single_story', 'garage_1_or_more', 'garage_2_or_more']",162-Cashmere-Ct_Raleigh_NC_27610_M93289-62301,for_sale,2022-05-01T00:00:00Z,,"[{'name': 'Lennar', 'photo': None, 'type': 'Builder'}]","[{'href': 'https://nh.rdcpix.com/e1127fec1351c392ef9ba8e68c1005a0l-f453782535s-w1024_h768.jpg'}, {'href': 'https://nh.rdcpix.com/e1127fec1351c392ef9ba8e68c1005a0t-f1168230586s-w1024_h768.jpg'}]",,518100,True,9328962301,,,2942680443,,https://nh.rdcpix.com/e1127fec1351c392ef9ba8e68c1005a0l-f453782535s-w1024_h768.jpg,,LC1B,417000591379,66252710013,new_home,4FF7998BAA567CA2A9C29CD150E7E8F8,True,,,,,,True,,,True,False,False,new_homes_moveinready,"['new_homes_cost_per_lead_hybrid.builder', 'co_broke']",basic_opt_in,,,,,2.0,,,,2096.0,2.0,,,2.0,1.0,2.0,single_family,27610,North Carolina,-78.547467,35.69799,Raleigh,NC,162 Cashmere Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=162%20Cashmere%20Ct%2C%20Raleigh%2C%20NC%2027610&size=640x480&source=outdoor&signature=GyYVFNXI8NZXD5XdE2Uc1iR4cU8=,37183,Wake,"[{'listing_id': '2942680443', 'listing_key': None, 'status': 'for_sale', 'primary': True}]","[{'office': {'hours': 'Mon-Sun: By Appointment', 'phones': [{'number': '(919) 337-9420', 'type': 'Office'}]}, 'builder': {'fulfillment_id': '4803467'}}]",717000057936,Auburn Village - Garnet Collection,,,,
7,2022-05-06T12:47:26Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",3516-Spring-Willow-Pl_Raleigh_NC_27615_M59946-84078,for_sale,2022-04-29T17:54:06Z,,"[{'name': 'Howard Perry and Walston', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/142f47908044a8cb956acf4d391481d1l-m3639652042s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/142f47908044a8cb956acf4d391481d1l-m1421367047s-w1024_h768.jpg'}]",,524900,False,5994684078,,,2942575860,,https://ap.rdcpix.com/142f47908044a8cb956acf4d391481d1l-m3639652042s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,03FF927A8DD777BCC01D8CD8C55F74AD,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1995.0,,2015-05-27,292500.0,2.0,,1.0,9148.0,2301.0,3.0,,,2.0,2.0,3.0,single_family,27615,North Carolina,-78.583217,35.901988,Raleigh,NC,3516 Spring Willow Pl,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3516%20Spring%20Willow%20Pl%2C%20Raleigh%2C%20NC%2027615&size=640x480&source=outdoor&signature=W9gTiCU_58t4lXhuu6cj1GCX4HQ=,37183,Wake,"[{'listing_id': '2942575860', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '601308086', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '563813586', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '506961366', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
8,2022-04-29T16:40:55Z,"['central_air', 'community_security_features', 'corner_lot', 'forced_air', 'new_construction', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'gourmet_kitchen']",7003-Gentle-Pine-Pl-30_Raleigh_NC_27613_M90213-27669,for_sale,2022-04-29T16:45:45Z,,"[{'name': 'Taylor Morrison Of Carolinas, Inc.', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/ccd2eba53c372d937139459a32be6a9fl-m2967454865s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/ccd2eba53c372d937139459a32be6a9fl-m3474018619s-w1024_h768.jpg'}]",,543600,False,9021327669,,,2942572331,,https://ap.rdcpix.com/ccd2eba53c372d937139459a32be6a9fl-m2967454865s-w1024_h768.jpg,"[{'office_name': 'Taylor Morrison of Carolinas, Inc.'}]",TANC,,,mls,,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'co_broke']",basic_opt_in,2022.0,,,,3.0,,1.0,1699.0,2405.0,4.0,townhouse,,2.0,3.0,4.0,townhomes,27613,North Carolina,-78.699678,35.870546,Raleigh,NC,7003 Gentle Pine Pl Unit 30,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7003%20Gentle%20Pine%20Pl%20Unit%2030%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=yF_LVG67WG2yynkmAXp_aIEVNmw=,37183,Wake,"[{'listing_id': '2942572331', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
9,2022-04-29T16:46:51Z,"['central_air', 'community_security_features', 'forced_air', 'new_construction', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'gourmet_kitchen']",7005-Gentle-Pine-Pl-29_Raleigh_NC_27613_M91442-88168,for_sale,2022-04-29T16:07:50Z,,"[{'name': 'Taylor Morrison Of Carolinas, Inc.', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/aa24a5f665df492ef91f6dfb4e5f5784l-m1085939817s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/aa24a5f665df492ef91f6dfb4e5f5784l-m3943208342s-w1024_h768.jpg'}]",,529154,False,9144288168,,,2942570540,,https://ap.rdcpix.com/aa24a5f665df492ef91f6dfb4e5f5784l-m1085939817s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'co_broke']",basic_opt_in,2022.0,,,,3.0,,1.0,1525.0,2450.0,4.0,townhouse,,2.0,3.0,4.0,townhomes,27613,North Carolina,-78.699734,35.870595,Raleigh,NC,7005 Gentle Pine Pl Unit 29,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7005%20Gentle%20Pine%20Pl%20Unit%2029%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=MT1-Ir9WbLCIf7yWy8IRe-NjY7Y=,37183,Wake,"[{'listing_id': '2942570540', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
