,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,primary_photo.href,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,tax_record,primary_photo,community.advertisers,community.property_id,community.description.name,other_listings,products,lead_attributes.opcity_lead_attributes
0,2022-05-06T12:13:29Z,"['central_air', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",12317-Penrose-Trl_Raleigh_NC_27614_M51028-28541,for_sale,2022-05-06T10:52:45Z,"[{'start_date': '2022-05-07T13:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T15:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Howard Perry and Walston', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/513fe2bd3577314df92c888e36bdf3cfl-m3926246845s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/513fe2bd3577314df92c888e36bdf3cfl-m3191193050s-w1024_h768.jpg'}]",,575000,False,5102828541,,,2942807140,,https://ap.rdcpix.com/513fe2bd3577314df92c888e36bdf3cfl-m3926246845s-w1024_h768.jpg,[{'office_name': 'Howard Perry & Walston Realtor'}],TANC,,,mls,9058BE50FD2355C960872530D692436D,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1999.0,,2007-08-02,432000.0,2.0,,1.0,15682.0,2777.0,3.0,,,2.0,2.0,3.0,single_family,27614,North Carolina,-78.562826,35.947701,Raleigh,NC,12317 Penrose Trl,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=12317%20Penrose%20Trl%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=zylMUyums-EGTfexh-XG9KYDshg=,37183,Wake,"[{'listing_id': '2942807140', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,,
1,2022-05-06T12:44:30Z,"['central_air', 'community_outdoor_space', 'cul_de_sac', 'disability_features', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'big_yard', 'open_floor_plan', 'floor_plan', 'master_suite', 'farm', 'ranch']",5343-Topspin-Ct_Raleigh_NC_27609_M50136-15187,for_sale,2022-05-06T01:44:55Z,"[{'start_date': '2022-05-07T12:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T14:00:00', 'dst': True, 'time_zone': 'EST'}, {'start_date': '2022-05-08T14:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-08T16:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': ""Hodge & Kittrell Sotheby's International Realty"", 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/daa0b79a304c90892d7c11ced6327ba3l-m428736620s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/daa0b79a304c90892d7c11ced6327ba3l-m3075206769s-w1024_h768.jpg'}]",,615000,False,5013615187,,"[{'type': None, 'href': 'https://youriguide.com/5343_topspin_ct_raleigh_nc'}]",2942797381,,https://ap.rdcpix.com/daa0b79a304c90892d7c11ced6327ba3l-m428736620s-w1024_h768.jpg,"[{'office_name': ""Hodge & Kittrell Sotheby's International Realty""}]",TANC,,,mls,A8C56E0120699B45B616AB175592FF43,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2017.0,,2017-10-31,422500.0,2.0,,,12197.0,1906.0,2.0,,,2.0,1.0,3.0,single_family,27609,North Carolina,-78.611985,35.857645,Raleigh,NC,5343 Topspin Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5343%20Topspin%20Ct%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=Bt9OSA2ZFEfbuQaDfyXLXsoPM8w=,37183,Wake,"[{'listing_id': '2942797381', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2941920254', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '627432538', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,,
2,2022-05-05T16:09:35Z,"['central_air', 'community_outdoor_space', 'corner_lot', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'wooded_land']",7501-Panther-Branch-Dr_Raleigh_NC_27612_M58122-52769,for_sale,2022-05-05T16:13:09Z,,"[{'name': 'Fonville Morisey/Stonehenge Sales Office', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/7cd5361951a359b787ed122a7a5d67f1l-m433195411s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/7cd5361951a359b787ed122a7a5d67f1l-m3379345026s-w1024_h768.jpg'}]",,639900,False,5812252769,,,2942768675,,https://ap.rdcpix.com/7cd5361951a359b787ed122a7a5d67f1l-m433195411s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,143D8A0BF719304D96D40EA240E84200,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1993.0,,1994-02-14,206000.0,2.0,,1.0,20909.0,2610.0,3.0,,,2.0,2.0,4.0,single_family,27612,North Carolina,-78.738479,35.87483,Raleigh,NC,7501 Panther Branch Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7501%20Panther%20Branch%20Dr%2C%20Raleigh%2C%20NC%2027612&size=640x480&source=outdoor&signature=1qcGKyUyo20zXkmi0IEd5COAo8M=,37183,Wake,"[{'listing_id': '2942768675', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,,
3,2022-05-07T07:02:12Z,"['central_air', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",10700-Cheltonham-Ct_Raleigh_NC_27614_M50393-76717,for_sale,2022-05-05T14:43:53Z,,"[{'name': 'Linda Craft & Team, Realtors', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/b70f96e83137e26d3300f8b54763f967l-m3029074729s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/b70f96e83137e26d3300f8b54763f967l-m1192449318s-w1024_h768.jpg'}]",,600000,False,5039376717,,,2942764146,,https://ap.rdcpix.com/b70f96e83137e26d3300f8b54763f967l-m3029074729s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,E112A3FE39C0CD48EBB1140C6386F9C4,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1987.0,,1988-01-07,158000.0,2.0,,1.0,40075.0,2437.0,3.0,,,2.0,2.0,4.0,single_family,27614,North Carolina,-78.622652,35.923476,Raleigh,NC,10700 Cheltonham Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=10700%20Cheltonham%20Ct%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=-ParT_bze2NzyvJYe3wPBsm9n3o=,37183,Wake,"[{'listing_id': '2942764146', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,,
4,2022-05-05T14:30:14Z,"['central_air', 'community_outdoor_space', 'den_or_office', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'big_lot', 'new_roof']",3121-Barnsley-Ln_Raleigh_NC_27604_M67675-81651,for_sale,2022-05-05T14:37:20Z,,"[{'name': 'EXP Realty LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/20704344c10a54e21310205aa0ae9b46l-m3928010737s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/20704344c10a54e21310205aa0ae9b46l-m1252648476s-w1024_h768.jpg'}]",,625000,False,6767581651,,,2942763796,,https://ap.rdcpix.com/20704344c10a54e21310205aa0ae9b46l-m3928010737s-w1024_h768.jpg,[{'office_name': 'EXP Realty LLC'}],TANC,,,mls,8D2D627F438DDBFC03BD08398E6CFB46,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1981.0,,1991-05-02,135000.0,3.0,,1.0,71003.0,3979.0,4.0,,,2.0,2.0,3.0,single_family,27604,North Carolina,-78.552034,35.827083,Raleigh,NC,3121 Barnsley Ln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3121%20Barnsley%20Ln%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=7mjtaVKpQLsPN-6RO7x3U2KtRWU=,37183,Wake,"[{'listing_id': '2942763796', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,,
5,2022-05-06T16:42:43Z,"['central_air', 'city_view', 'community_outdoor_space', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'granite_kitchen', 'fenced_yard', 'open_floor_plan', 'floor_plan', 'master_suite']",5717-Raddington-St_Raleigh_NC_27613_M51493-14396,for_sale,2022-05-05T14:00:35Z,"[{'start_date': '2022-05-07T12:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T14:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'EXP Realty LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/49e8b34bc730df41c04b5c6501bab2e6l-m805111442s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/49e8b34bc730df41c04b5c6501bab2e6l-m22072614s-w1024_h768.jpg'}]",,599900,False,5149314396,,,2942762263,,https://ap.rdcpix.com/49e8b34bc730df41c04b5c6501bab2e6l-m805111442s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,AA36F54AF3F4928A67800C61A2CBB3BE,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1992.0,,2006-08-31,276000.0,2.0,,1.0,10454.0,2902.0,3.0,,,2.0,2.0,4.0,single_family,27613,North Carolina,-78.749313,35.932414,Raleigh,NC,5717 Raddington St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5717%20Raddington%20St%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=buAtT04Uk0-llxhuNIx1dHHNWpQ=,37183,Wake,"[{'listing_id': '2942762263', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,,
6,2022-05-06T14:09:45Z,"['central_air', 'city_view', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'open_floor_plan', 'floor_plan', 'front_porch', 'playground', 'trails']",2305-Falls-River-Ave_Raleigh_NC_27614_M53139-94858,for_sale,2022-05-05T13:30:55Z,"[{'start_date': '2022-05-07T12:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T14:00:00', 'dst': True, 'time_zone': 'EST'}, {'start_date': '2022-05-08T14:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-08T16:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'EXP Realty LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/0b0dc47438b13a24fc1d0095279461fcl-m3736331273s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/0b0dc47438b13a24fc1d0095279461fcl-m218461330s-w1024_h768.jpg'}]",,599900,False,5313994858,,,2942761169,,https://ap.rdcpix.com/0b0dc47438b13a24fc1d0095279461fcl-m3736331273s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,6B180E1EED31FEE2CF1CF287EC5F68B6,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2006.0,,2006-06-05,341000.0,3.0,,1.0,14375.0,2824.0,4.0,,,2.0,2.0,4.0,single_family,27614,North Carolina,-78.56943,35.918259,Raleigh,NC,2305 Falls River Ave,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2305%20Falls%20River%20Ave%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=5a1q4LYdLS19RCg_bDqyWBqlXmw=,37183,Wake,"[{'listing_id': '2942761169', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,,
7,2022-05-05T12:13:20Z,"['central_air', 'community_outdoor_space', 'den_or_office', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more']",10713-Leslie-Dr_Raleigh_NC_27615_M59987-47289,for_sale,2022-05-05T12:17:26Z,,"[{'name': 'Redfin Corporation', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/abeceeb2c0787d5b11b20e2f3bf6b5c2l-m2859597318s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/abeceeb2c0787d5b11b20e2f3bf6b5c2l-m3643586424s-w1024_h768.jpg'}]",,639500,False,5998747289,,,2942758810,,https://ap.rdcpix.com/abeceeb2c0787d5b11b20e2f3bf6b5c2l-m2859597318s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,2FF4C9A4453FBFB49650DFD3E27CACAE,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1989.0,,2013-05-10,375000.0,4.0,,1.0,40075.0,4367.0,5.0,,,3.0,3.0,5.0,single_family,27615,North Carolina,-78.661507,35.929001,Raleigh,NC,10713 Leslie Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=10713%20Leslie%20Dr%2C%20Raleigh%2C%20NC%2027615&size=640x480&source=outdoor&signature=2aMOd1ZZLZitR8Yt8F-BPnKbjDE=,37183,Wake,"[{'listing_id': '2942758810', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2932942391', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '565441782', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,,
8,2022-05-05T10:22:53Z,"['central_air', 'community_outdoor_space', 'corner_lot', 'den_or_office', 'fireplace', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'community_swimming_pool', 'wooded_land', 'big_lot', 'farm', 'ranch', 'medicalcare', 'shopping']",5601-Dutchman-Dr_Raleigh_NC_27606_M66119-98267,for_sale,2022-05-05T10:23:58Z,"[{'start_date': '2022-05-07T12:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T14:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Keller Williams Preferred Realty - Brier Creek', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/5b6486f34128a52aa7c00f9568b3b6e8l-m4248695848s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/5b6486f34128a52aa7c00f9568b3b6e8l-m3012899141s-w1024_h768.jpg'}]",,600000,False,6611998267,,,2942757191,,https://ap.rdcpix.com/5b6486f34128a52aa7c00f9568b3b6e8l-m4248695848s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,2F31B0E73FA7554C64F15BF4060EC54C,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1978.0,,2013-10-09,400000.0,4.0,,,45302.0,3355.0,4.0,,,2.0,1.0,4.0,single_family,27606,North Carolina,-78.77348,35.703095,Raleigh,NC,5601 Dutchman Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5601%20Dutchman%20Dr%2C%20Raleigh%2C%20NC%2027606&size=640x480&source=outdoor&signature=mjnkTskv9TiafLsResJMW9giV58=,37183,Wake,"[{'listing_id': '2942757191', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '500797874', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '503326362', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,,
9,2022-05-05T13:36:16Z,"['central_air', 'community_outdoor_space', 'corner_lot', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'basement', 'single_story']",728-Kimbrough-St_Raleigh_NC_27608_M53349-28015,for_sale,2022-05-05T01:02:22Z,,"[{'name': 'Compass North Carolina', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/1c5c01b14fbe5b9c18980922660cc3e6l-m3120797909s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/1c5c01b14fbe5b9c18980922660cc3e6l-m2437989983s-w1024_h768.jpg'}]",,600000,False,5334928015,,,2942748155,,https://ap.rdcpix.com/1c5c01b14fbe5b9c18980922660cc3e6l-m3120797909s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,BC6FA993209DA15773172FF9B28479FB,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1940.0,,2018-10-16,380000.0,1.0,,1.0,11326.0,1327.0,2.0,,,,1.0,2.0,single_family,27608,North Carolina,-78.626454,35.808052,Raleigh,NC,728 Kimbrough St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=728%20Kimbrough%20St%2C%20Raleigh%2C%20NC%2027608&size=640x480&source=outdoor&signature=oN_ljS3iY625z9u60bN6ujcBMY4=,37183,Wake,"[{'listing_id': '2942748155', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '646610970', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '556137426', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '525043550', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,,
