,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,primary_photo.href,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,tax_record,primary_photo,community.advertisers,community.property_id,community.description.name,other_listings,products
0,2022-05-07T10:03:13Z,"['carport', 'central_air', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'updated_kitchen', 'open_house']",713-Richmond-St_Raleigh_NC_27609_M66548-13167,for_sale,2022-05-07T10:08:05Z,"[{'start_date': '2022-05-07T12:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T14:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'EXP Realty LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/9d2083ba8c3b999b4a3e31927bc4b666l-m4282193208s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/9d2083ba8c3b999b4a3e31927bc4b666l-m3189530158s-w1024_h768.jpg'}]",,699000,False,6654813167,,,2942848044,,https://ap.rdcpix.com/9d2083ba8c3b999b4a3e31927bc4b666l-m4282193208s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,0859838EED94FEC6A5EC4F398DE6369F,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1961.0,,2017-09-12,400000.0,2.0,,1.0,1350.0,1907.0,3.0,,,,,3.0,single_family,27609,North Carolina,-78.652604,35.842146,Raleigh,NC,713 Richmond St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=713%20Richmond%20St%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=41G21vZfCu5QId1XhqHtaMKa5Xk=,37183,Wake,"[{'listing_id': '2942848044', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '629997286', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '551969346', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
1,2022-05-06T21:38:31Z,"['central_air', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'garage_1_or_more', 'garage_2_or_more', 'two_or_more_stories', 'updated_kitchen', 'fenced_yard', 'vaulted_ceiling']",5616-Winthrop-Dr_Raleigh_NC_27612_M63218-55086,for_sale,2022-05-06T20:38:16Z,,"[{'name': 'Glenwood Agency, LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/e8ef26a140c9894a941b5bc58e357f4fl-m1425498480s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/e8ef26a140c9894a941b5bc58e357f4fl-m1543286849s-w1024_h768.jpg'}]",,725000,False,6321855086,,,2942831230,,https://ap.rdcpix.com/e8ef26a140c9894a941b5bc58e357f4fl-m1425498480s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,BD3D91B6120D54CD9E41C7A464B2BDA3,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1967.0,,2002-11-15,297000.0,3.0,,,30056.0,3335.0,3.0,,,2.0,,4.0,single_family,27612,North Carolina,-78.688547,35.85508,Raleigh,NC,5616 Winthrop Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5616%20Winthrop%20Dr%2C%20Raleigh%2C%20NC%2027612&size=640x480&source=outdoor&signature=fh8jNiqGeIQp0DmKEuw1Q_K8iZQ=,37183,Wake,"[{'listing_id': '2942831230', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
2,2022-05-06T05:11:47Z,"['community_outdoor_space', 'community_security_features', 'den_or_office', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'two_or_more_stories']",6901-Woodmere-Dr_Raleigh_NC_27612_M52699-23433,for_sale,2022-05-06T05:15:26Z,,"[{'name': 'Eaton Real Estate Services LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/77b1f7c69f45725b9037f156a950f5a4l-m3245181046s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/77b1f7c69f45725b9037f156a950f5a4l-m1169716850s-w1024_h768.jpg'}]",,800000,False,5269923433,,,2942803351,,https://ap.rdcpix.com/77b1f7c69f45725b9037f156a950f5a4l-m3245181046s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,C23FBAE768055EDA1DEB4F19DAF641F4,,,,,,,True,,,True,False,False,co_broke,['co_broke'],basic_opt_in,1967.0,,2016-09-21,369000.0,3.0,,,28314.0,3411.0,3.0,,,,2.0,4.0,single_family,27612,North Carolina,-78.669992,35.875109,Raleigh,NC,6901 Woodmere Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=6901%20Woodmere%20Dr%2C%20Raleigh%2C%20NC%2027612&size=640x480&source=outdoor&signature=Ya60v5i-A46Hqrv5gQn679De1Jk=,37183,Wake,"[{'listing_id': '2942803351', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
3,2022-05-05T12:31:59Z,"['central_air', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more']",1611-Draper-View-Loop-Unit-104_Raleigh_NC_27608_M95664-68279,for_sale,2022-05-05T12:23:11Z,,"[{'name': 'Compass North Carolina', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/a4d0fcfe1fd3a7dac7812d041fa8e3c9l-m2383278620s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/a4d0fcfe1fd3a7dac7812d041fa8e3c9l-m144192558s-w1024_h768.jpg'}]",,699000,False,9566468279,,,2942759170,,https://ap.rdcpix.com/a4d0fcfe1fd3a7dac7812d041fa8e3c9l-m2383278620s-w1024_h768.jpg,[{'office_name': 'Compass -- Raleigh'}],TANC,,,mls,1C67FA051D3E415526B91B9EF542791F,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2021.0,,,,3.0,,1.0,,1705.0,4.0,condo,,1.0,3.0,2.0,condos,27608,North Carolina,-78.634749038029,35.80337707838,Raleigh,NC,1611 Draper View Loop Unit 104,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1611%20Draper%20View%20Loop%20Unit%20104%2C%20Raleigh%2C%20NC%2027608&size=640x480&source=outdoor&signature=eXIIJMHRpROSWYbrvHeCXtm3LAY=,37183,Wake,"[{'listing_id': '2942759170', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2916062286', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
4,2022-05-05T11:53:41Z,"['central_air', 'community_outdoor_space', 'den_or_office', 'fireplace', 'forced_air', 'hardwood_floors', 'single_story', 'garage_1_or_more', 'garage_2_or_more']",10208-Byrum-Woods-Dr_Raleigh_NC_27613_M64883-53019,for_sale,2022-05-05T11:57:44Z,"[{'start_date': '2022-05-07T13:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T16:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Redfin Corporation', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/9c4ea4f502d9a1a770bf6bba738acd6cl-m2720668527s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/9c4ea4f502d9a1a770bf6bba738acd6cl-m3676428962s-w1024_h768.jpg'}]",,670000,False,6488353019,,,2942758361,,https://ap.rdcpix.com/9c4ea4f502d9a1a770bf6bba738acd6cl-m2720668527s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,26F2F2845051DF0C7B9D0983C1A20B5E,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1988.0,,2007-03-23,359000.0,3.0,,,40511.0,2738.0,3.0,,,2.0,1.0,4.0,single_family,27613,North Carolina,-78.686373,35.933113,Raleigh,NC,10208 Byrum Woods Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=10208%20Byrum%20Woods%20Dr%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=PfnYE8QLtnuS8pVlpViMs0kkDoc=,37183,Wake,"[{'listing_id': '2942758361', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
5,2022-05-05T16:29:54Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'lake_view', 'laundry_room', 'view', 'water_view', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'waterfront', 'views', 'lake']",7304-Still-Pond-Ct_Raleigh_NC_27613_M63609-53357,for_sale,2022-05-05T11:30:49Z,"[{'start_date': '2022-05-07T13:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T15:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Spencer Properties', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/3bea1294e098937396066f4c7c32aaf2l-m1308664379s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/3bea1294e098937396066f4c7c32aaf2l-m1690123558s-w1024_h768.jpg'}]",,799000,False,6360953357,,,2942757979,,https://ap.rdcpix.com/3bea1294e098937396066f4c7c32aaf2l-m1308664379s-w1024_h768.jpg,[{'office_name': 'Spencer Properties'}],TANC,,,mls,81634D86CD320726EB8833B3B12668C2,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1987.0,,2012-12-04,358000.0,2.0,,1.0,15246.0,2760.0,3.0,,,2.0,3.0,4.0,single_family,27613,North Carolina,-78.701171,35.881782,Raleigh,NC,7304 Still Pond Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7304%20Still%20Pond%20Ct%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=v1Wgs_ZDoY-7i9aQ3goL50P6GJ8=,37183,Wake,"[{'listing_id': '2942757979', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '553930202', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
6,2022-05-04T19:02:24Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'new_construction', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'smart_homes']",4908-Chase-Hill-Way_Raleigh_NC_27603_M95906-76791,for_sale,2022-05-04T19:09:31Z,"[{'start_date': '2022-05-07T11:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T17:00:00', 'dst': True, 'time_zone': 'EST'}, {'start_date': '2022-05-08T14:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-08T17:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'D.R. Horton, Inc.', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/d6b8d4abfeb20cd0856ab248790eeff4l-m191924088s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/d6b8d4abfeb20cd0856ab248790eeff4l-m530328343s-w1024_h768.jpg'}]",,665165,False,9590676791,,,2942733828,,https://ap.rdcpix.com/d6b8d4abfeb20cd0856ab248790eeff4l-m191924088s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2022.0,,,,3.0,,,7797.0,3133.0,3.0,,,2.0,2.0,4.0,single_family,27603,North Carolina,-78.720985,35.893414,Raleigh,NC,4908 Chase Hill Way,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4908%20Chase%20Hill%20Way%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=-u48h4Oa2edvWofFApB-lX5rUok=,37183,Wake,"[{'listing_id': '2942733828', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
7,2022-05-04T19:04:27Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'new_construction', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'smart_homes']",4916-Chase-Hill-Way_Raleigh_NC_27603_M97873-69448,for_sale,2022-05-04T19:09:31Z,"[{'start_date': '2022-05-07T11:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T17:00:00', 'dst': True, 'time_zone': 'EST'}, {'start_date': '2022-05-08T14:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-08T17:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'D.R. Horton, Inc.', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/4d3ebdf9d30c7f2bc34cc35ab924cb0fl-m2365615253s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/4d3ebdf9d30c7f2bc34cc35ab924cb0fl-m1278853659s-w1024_h768.jpg'}]",,665165,False,9787369448,,,2942733826,,https://ap.rdcpix.com/4d3ebdf9d30c7f2bc34cc35ab924cb0fl-m2365615253s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,,True,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2022.0,,,,3.0,,,7797.0,3133.0,3.0,,,2.0,2.0,4.0,single_family,27603,North Carolina,-78.720956,35.893396,Raleigh,NC,4916 Chase Hill Way,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4916%20Chase%20Hill%20Way%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=Izr6iE8hifhlr68RI4nFKhEAl30=,37183,Wake,"[{'listing_id': '2942733826', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
8,2022-05-05T14:09:48Z,"['central_air', 'community_outdoor_space', 'disability_features', 'family_room', 'fireplace', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",4105-Converse-Dr_Raleigh_NC_27609_M64114-76529,for_sale,2022-05-01T03:40:17Z,,"[{'name': 'Realty ONE Group Promise', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/ca7b15f134d2ff30ccf60cff2537eafel-m3634208333s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/ca7b15f134d2ff30ccf60cff2537eafel-m3429945790s-w1024_h768.jpg'}]",,749000,False,6411476529,,,2942622418,,https://ap.rdcpix.com/ca7b15f134d2ff30ccf60cff2537eafel-m3634208333s-w1024_h768.jpg,[{'office_name': 'Realty One Group Promise'}],TANC,,,mls,6513ABC4A4E8CBC54EAB1BC8EB2A9E0A,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1968.0,,2005-06-03,268000.0,3.0,,,13068.0,3002.0,3.0,,,2.0,2.0,5.0,single_family,27609,North Carolina,-78.626826,35.839322,Raleigh,NC,4105 Converse Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4105%20Converse%20Dr%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=fGf5FCIk6glBRa0kLyJNd9M5wDo=,37183,Wake,"[{'listing_id': '2942622418', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
9,2022-05-02T16:59:03Z,"['central_air', 'cul_de_sac', 'family_room', 'fireplace', 'hardwood_floors', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",2208-Saltree-Pl_Raleigh_NC_27614_M68546-48711,for_sale,2022-04-29T14:29:20Z,"[{'start_date': '2022-05-07T11:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T14:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'ListWithFreedom.com', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/304d2074c3186d131cc19089492d627el-m1408220368s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/304d2074c3186d131cc19089492d627el-m3861623981s-w1024_h768.jpg'}]",,659900,True,6854648711,,,2942565776,,https://ap.rdcpix.com/304d2074c3186d131cc19089492d627el-m1408220368s-w1024_h768.jpg,[{'office_name': 'ListWithFreedom.com'}],TANC,,,mls,1E84998AB278B844D922AAD29D85A7A3,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'co_broke']",basic_opt_in,1999.0,,2001-10-17,290000.0,3.0,,,11761.0,2897.0,3.0,,,2.0,2.0,5.0,single_family,27614,North Carolina,-78.572682,35.91866,Raleigh,NC,2208 Saltree Pl,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2208%20Saltree%20Pl%2C%20Raleigh%2C%20NC%2027614&size=640x480&source=outdoor&signature=r0RBkEqZiX2IkBMEyHzCNzDG2iY=,37183,Wake,"[{'listing_id': '2942565776', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2942563371', 'listing_key': None, 'status': 'for_sale', 'primary': None}]",,,,,,,
